patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch1stzi3a_1,1,week4,none,0.000122441,0.000151604,0.000197339,0.00023007,0.000249929,0.000283363,0.000332825,0.000384036,0.00045179,0.000568389,0.000707598,0.00077072,0.000717519,0.000637931,0.000615925,0.000630313,0.000646456,0.00068752,0.0007724,0.000858795,0.000883703,0.000851229,0.000840435,0.00088876,0.000924452,0.000868488,0.000744656,0.00063631,0.000590969,0.000615,0.000682628,0.000729609,0.000718227,0.00067988,0.000656212,0.000646381,0.000625637,0.000587,0.000546727,0.000522432,0.000525237,0.000568237,0.00067823,0.000879579,0.001128978,0.00131433,0.001361643,0.001291617,0.001172543,0.001060324,0.000980763,0.000949993,0.001021004,0.001270291,0.001627497,0.001836156,0.001747306,0.001477024,0.001221126,0.001072709,0.001010713,0.000974879,0.000945712,0.000954366,0.001014111,0.001086995,0.001137305,0.001166803,0.001184352,0.001179113,0.001130867,0.001033609,0.000904014,0.000766893,0.000637497,0.000519039,0.000411879,0.00032037,0.000249524,0.000198431,0.000160995,0.000131661,0.00010778,8.82E-05,7.22E-05,5.91E-05,4.80E-05
ch1stzi2c_1,1,week4,none,0.002875867,0.004639961,0.006423063,0.007421725,0.007707734,0.008467635,0.010790927,0.013870818,0.016556307,0.019772261,0.024255681,0.029523888,0.035757526,0.043358373,0.052521947,0.063553276,0.076818826,0.092579346,0.111101135,0.132897562,0.15883584,0.19002256,0.227470511,0.271783416,0.323509434,0.384048063,0.455355104,0.538297266,0.632309505,0.736716931,0.850657728,0.970173274,1.086346922,1.187903575,1.264145684,1.305355874,1.305170283,1.26622355,1.204608336,1.149585333,1.136664077,1.194228826,1.325626557,1.494033041,1.627895651,1.657300456,1.563141758,1.399925765,1.259354405,1.190399672,1.157319718,1.094781593,0.990628411,0.881595459,0.785886448,0.689983348,0.588216887,0.489773868,0.400386784,0.320693559,0.250924858,0.191590155,0.14326441,0.105899172,0.078480866,0.05939741,0.046932162,0.039442719,0.035321859,0.03310946,0.03173728,0.030556057,0.029179125,0.027396196,0.025148348,0.022526252,0.019874915,0.017831523,0.016863284,0.016559283,0.015768465,0.013759301,0.010939434,0.008273251,0.006373313,0.005199667,0.004316947
ch1stzi2b_1,1,week4,none,1.51E-06,1.16E-06,1.06E-06,1.18E-06,1.59E-06,2.31E-06,2.94E-06,3.19E-06,3.23E-06,3.30E-06,3.43E-06,3.73E-06,4.93E-06,8.20E-06,1.32E-05,1.74E-05,1.90E-05,1.88E-05,1.87E-05,1.93E-05,2.06E-05,2.39E-05,3.33E-05,5.27E-05,8.04E-05,0.000106995,0.0001245,0.00013993,0.000166846,0.000200936,0.000225552,0.000241867,0.000269487,0.000315242,0.000378486,0.000478128,0.000613897,0.00073686,0.00080607,0.000823612,0.000816683,0.000817981,0.0008381,0.000859258,0.000879835,0.000925468,0.000992501,0.00104887,0.001081096,0.001093132,0.001096636,0.001098708,0.001089988,0.00106434,0.001034601,0.001012732,0.000987109,0.000935699,0.000860067,0.000798251,0.000787982,0.000822489,0.00086586,0.000896171,0.000912885,0.000920225,0.000918068,0.000897876,0.000850317,0.000777269,0.00068687,0.000585494,0.000481203,0.00038717,0.000315168,0.000265141,0.000226036,0.000189126,0.000154989,0.00012754,0.000107707,9.39E-05,8.43E-05,7.79E-05,7.30E-05,6.85E-05,6.39E-05
ch1stzi2a_1,1,week4,none,6.61E-06,7.25E-06,8.02E-06,8.17E-06,7.06E-06,5.17E-06,3.46E-06,2.51E-06,2.56E-06,3.47E-06,4.62E-06,5.36E-06,5.72E-06,6.57E-06,8.83E-06,1.28E-05,1.74E-05,2.03E-05,2.05E-05,2.03E-05,2.41E-05,3.54E-05,5.47E-05,8.00E-05,0.000107179,0.000136132,0.000169686,0.000200193,0.000214194,0.000212324,0.000204847,0.000200498,0.000210419,0.000242374,0.000288757,0.000341381,0.000408528,0.00049864,0.000593061,0.000663142,0.000720897,0.000803519,0.000913054,0.001022283,0.001108364,0.001147322,0.001125987,0.001067111,0.001006427,0.000962012,0.000933836,0.000920798,0.000928098,0.000944838,0.000944728,0.000927178,0.000912304,0.000898018,0.000873178,0.000855378,0.000873494,0.0009291,0.00099819,0.001057358,0.001100222,0.001129174,0.001136243,0.001108594,0.001045921,0.000960849,0.00086605,0.000764752,0.000655134,0.000540792,0.000432854,0.000341847,0.000271255,0.000218556,0.000179444,0.000150216,0.000127616,0.000109245,9.46E-05,8.40E-05,7.65E-05,7.02E-05,6.36E-05
ch1stzi1a_1,1,week4,none,9.19E-07,1.21E-06,1.77E-06,2.47E-06,3.13E-06,3.46E-06,3.37E-06,3.11E-06,3.16E-06,4.20E-06,7.53E-06,1.44E-05,2.38E-05,3.20E-05,3.67E-05,3.89E-05,4.11E-05,4.40E-05,4.86E-05,5.58E-05,6.63E-05,8.40E-05,0.000113044,0.000150157,0.000189123,0.000237273,0.000325235,0.000497124,0.000763823,0.001088918,0.001493791,0.002104868,0.002964835,0.003821487,0.004295575,0.004296413,0.004034834,0.00372522,0.003431912,0.003096718,0.002666857,0.002193812,0.001805655,0.001601916,0.00155873,0.001556563,0.001506937,0.001409002,0.001310072,0.001244732,0.001213265,0.001199113,0.001190505,0.001187431,0.00118285,0.00116036,0.001120984,0.001084422,0.001061769,0.001054657,0.001068381,0.001090193,0.001096225,0.001093803,0.001105246,0.001129054,0.001159173,0.001216773,0.001320298,0.001440301,0.001519521,0.001520136,0.001430185,0.001258325,0.001041521,0.000827462,0.000642932,0.00049365,0.000379953,0.000298315,0.000240206,0.000198124,0.000168268,0.000146989,0.000129239,0.000111544,9.35E-05
ch2stzi2b_1,1,week4,none,3.51E-06,4.39E-06,4.94E-06,5.77E-06,7.21E-06,8.81E-06,9.46E-06,8.72E-06,7.55E-06,7.20E-06,8.48E-06,1.25E-05,2.05E-05,3.21E-05,4.38E-05,4.97E-05,4.63E-05,3.67E-05,2.75E-05,2.25E-05,2.22E-05,2.66E-05,3.73E-05,5.67E-05,8.57E-05,0.000119112,0.00014654,0.000164874,0.000181921,0.000199135,0.000207879,0.000207788,0.000213306,0.000238258,0.000291755,0.000383554,0.000498923,0.000594942,0.00064458,0.000652654,0.000642352,0.000640509,0.000655231,0.000675388,0.000701623,0.000747972,0.000808433,0.000864421,0.000909774,0.000940776,0.000950601,0.000936911,0.000910038,0.000890075,0.000883764,0.000873438,0.000840527,0.000786837,0.000735273,0.000721802,0.000760739,0.000822611,0.000873556,0.000909416,0.000936688,0.000951525,0.000945422,0.000908883,0.000837866,0.00074501,0.000649428,0.000560863,0.000481476,0.000413692,0.000360611,0.000320545,0.000286143,0.000251547,0.000218419,0.000192859,0.000176017,0.000161405,0.000143319,0.000122559,0.000102821,8.61E-05,7.19E-05
ch2stzi2a_1,1,week4,none,4.77E-06,3.55E-06,2.76E-06,2.24E-06,1.73E-06,1.27E-06,9.99E-07,1.28E-06,2.56E-06,4.59E-06,6.21E-06,6.71E-06,6.60E-06,6.51E-06,6.76E-06,8.50E-06,1.41E-05,2.42E-05,3.47E-05,4.01E-05,3.97E-05,3.92E-05,4.72E-05,6.78E-05,9.56E-05,0.000123508,0.000155855,0.000201598,0.000253574,0.000292317,0.000313866,0.000336778,0.000381902,0.000458297,0.000568984,0.000717963,0.000927435,0.00124977,0.001676609,0.002064151,0.002285617,0.00238832,0.002499516,0.002656477,0.002802987,0.002876718,0.002846645,0.002716904,0.002547139,0.002422644,0.002358415,0.002307649,0.002235709,0.002131605,0.002030621,0.002010488,0.00207376,0.002108084,0.002059948,0.002042192,0.002146001,0.002263956,0.002247729,0.002103947,0.001927789,0.001770393,0.001618466,0.001441774,0.001236583,0.00103178,0.000861174,0.000735791,0.000645143,0.000573075,0.000505752,0.000434104,0.000358505,0.000288466,0.000233496,0.000195222,0.000167895,0.00014478,0.000123365,0.000104609,8.90E-05,7.58E-05,6.42E-05
ch2stzi1a_1,1,week4,none,1.04E-06,1.23E-06,1.50E-06,2.07E-06,3.59E-06,6.48E-06,1.04E-05,1.51E-05,2.15E-05,2.98E-05,3.66E-05,3.97E-05,3.95E-05,3.63E-05,3.17E-05,2.99E-05,3.63E-05,5.15E-05,7.16E-05,9.18E-05,0.000105855,0.000112134,0.000118895,0.000138964,0.000176955,0.000228485,0.000308191,0.000461332,0.000704827,0.000998917,0.001350035,0.001854189,0.002539932,0.003214051,0.003595929,0.003618891,0.003428969,0.00317599,0.002911741,0.002602362,0.002221831,0.001823263,0.001507919,0.001343278,0.001298392,0.001279657,0.001229282,0.001151792,0.001076298,0.001019382,0.000979002,0.000949083,0.000928402,0.000920053,0.000918958,0.000912223,0.000897787,0.000884119,0.000873089,0.000865385,0.000870661,0.000884772,0.000890255,0.000889243,0.000895501,0.000909288,0.000931083,0.000979354,0.001065744,0.001164677,0.001229773,0.001229134,0.001152295,0.001006998,0.000823141,0.000641175,0.000488295,0.000371912,0.000288879,0.000231196,0.000189833,0.000159229,0.000136965,0.000120545,0.00010665,9.30E-05,7.92E-05
ch1stziv1a_1,1,week12,none,9.85E-07,1.98E-06,3.21E-06,3.96E-06,4.03E-06,3.80E-06,3.60E-06,3.73E-06,4.67E-06,6.58E-06,8.61E-06,9.98E-06,1.15E-05,1.44E-05,1.74E-05,1.79E-05,1.52E-05,1.15E-05,9.61E-06,1.10E-05,1.56E-05,2.22E-05,2.95E-05,3.59E-05,4.24E-05,6.32E-05,0.000121048,0.000204849,0.000259309,0.000252768,0.000215428,0.000190246,0.000187086,0.000196537,0.000217525,0.000259742,0.000324892,0.000390969,0.000430253,0.000445079,0.000466058,0.000518538,0.000609792,0.000724797,0.000828004,0.000889355,0.000908393,0.000917375,0.000939228,0.000955538,0.000946209,0.000918777,0.000888452,0.000870599,0.000887879,0.000943348,0.000996758,0.00100513,0.000969794,0.000918811,0.000876208,0.000857698,0.00086057,0.000867358,0.00087526,0.00089689,0.000929781,0.00095912,0.000987133,0.001025389,0.001060673,0.001054811,0.000983615,0.000858363,0.000708683,0.000562403,0.000438653,0.000346157,0.00028385,0.000244061,0.000217127,0.000195356,0.000174703,0.000154295,0.000134895,0.000117125,0.000100351
ch1stziii3c_1,1,week8,none,1.38E-06,1.47E-06,1.88E-06,2.27E-06,2.52E-06,2.71E-06,2.81E-06,2.76E-06,2.82E-06,3.73E-06,5.78E-06,8.32E-06,1.10E-05,1.38E-05,1.63E-05,1.81E-05,2.05E-05,2.63E-05,3.74E-05,5.17E-05,6.44E-05,7.23E-05,7.71E-05,8.47E-05,9.85E-05,0.000118909,0.000147675,0.000181501,0.000208505,0.000228731,0.000269331,0.000349969,0.000439792,0.000483359,0.000460206,0.000399108,0.000348472,0.00034863,0.000416393,0.000533186,0.000642291,0.000690167,0.000688677,0.000699799,0.000753704,0.000820226,0.000854098,0.000847431,0.000836451,0.000861786,0.000927828,0.001001653,0.001053005,0.001080468,0.001101938,0.001141365,0.001209665,0.001294862,0.001376823,0.001439191,0.001478527,0.001511284,0.001559638,0.001643303,0.001774001,0.001943759,0.002129527,0.002291068,0.002367384,0.00229542,0.002057004,0.001719181,0.001388449,0.001125522,0.000930958,0.000783884,0.000667126,0.000570527,0.000489152,0.000421786,0.000367496,0.000322956,0.000284363,0.000249961,0.000219151,0.000190535,0.000161663
