patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch2ctlii1e_1,1,week6,none,0.019633633,0.018510607,0.017364532,0.016216669,0.015063404,0.014273015,0.014103504,0.014323615,0.014428586,0.014085171,0.013314534,0.012339135,0.011392771
ch2ctlii1d_1,1,week6,none,0.076725206,0.076323642,0.074651154,0.070832132,0.064891924,0.057692817,0.05003243,0.042333477,0.034755979,0.027355713,0.020329188,0.014077192,0.009038044
ch2ctlii1c_1,1,week6,none,0.00040165,0.000435509,0.000460288,0.000491849,0.000526261,0.000527209,0.000480248,0.00042329,0.000405514,0.000437435,0.000490909,0.000537912,0.000571571
ch2ctlii1b_1,1,week6,none,0.000258882,0.000321359,0.000402691,0.00048864,0.00054029,0.000522073,0.00044503,0.000362951,0.000325354,0.000342206,0.000389729,0.000445097,0.000496826
ch2ctlii1a_1,1,week6,none,0.00018764,0.000214526,0.00025328,0.000310353,0.000379152,0.000431575,0.000438571,0.000405516,0.000373339,0.000386365,0.000458322,0.000569047,0.00068303
ch2ctli5c_1,1,week4,none,0.000424057,0.000639024,0.000804541,0.000888284,0.000927079,0.000965384,0.001019408,0.001082111,0.001130554,0.001128587,0.00107445,0.001032129,0.001052331
ch2ctli5b_1,1,week4,none,0.002789852,0.002487701,0.002095085,0.001768876,0.00160941,0.001593624,0.001693912,0.001879965,0.002022087,0.001980883,0.001767505,0.001510951,0.001313544
ch2ctli5a_1,1,week4,none,0.000792155,0.000635334,0.000520769,0.000470655,0.00047508,0.000524385,0.000628293,0.000795084,0.00096655,0.001057444,0.001058831,0.00101199,0.000942741
ch2ctli4c_1,1,week4,none,0.000529992,0.0007135,0.000869924,0.001008135,0.001140544,0.001218067,0.00119264,0.001089072,0.000964666,0.000860132,0.000803797,0.000807065,0.000856198
ch2ctli4b_1,1,week4,none,0.000366868,0.000527563,0.000750073,0.001012965,0.001224769,0.001267102,0.001122262,0.000904106,0.000738089,0.000659133,0.000635509,0.000646699,0.000693247
ch2ctli4a_1,1,week4,none,0.000334495,0.000458093,0.000640333,0.000890828,0.00114771,0.001292021,0.001272274,0.001145877,0.00099779,0.000884669,0.000830612,0.00082185,0.000831431
ch2ctli3c_1,1,week4,none,0.001954538,0.002655754,0.003233528,0.003357781,0.003011583,0.0024861,0.002057936,0.001808484,0.00168163,0.001644724,0.001734898,0.001897955,0.001954941
ch2ctli3b_1,1,week4,none,0.001656972,0.002038706,0.002275173,0.002277387,0.002095829,0.0018761,0.00175466,0.00179183,0.001940033,0.002091661,0.002177763,0.002163779,0.002027813
ch2ctli3a_1,1,week4,none,0.001643193,0.002192413,0.00271141,0.002984647,0.002857887,0.002430854,0.001967021,0.00166884,0.001577012,0.001596836,0.001620436,0.001617801,0.00159832
ch2ctli2c_1,1,week4,none,0.000363259,0.000462912,0.000603225,0.000801341,0.001051471,0.001367241,0.001824359,0.002391095,0.002777367,0.002733212,0.002368741,0.00197235,0.001694587
ch2ctli2b_1,1,week4,none,0.000297953,0.000385516,0.000484782,0.000610346,0.000844804,0.00130005,0.001908135,0.002353293,0.002408097,0.002185484,0.001930432,0.001752074,0.001626532
ch2ctli2a_1,1,week4,none,0.000365337,0.000526902,0.000688034,0.000822654,0.000947566,0.001114831,0.001365333,0.001681501,0.002002979,0.002248746,0.002342655,0.002274697,0.002113538
ch2stziv1a_1,1,week12,none,0.000148095,0.000166834,0.00019097,0.000226231,0.000285531,0.000359339,0.000409097,0.000414997,0.00040267,0.000407394,0.000441728,0.000497051,0.000555797
ch2stziii3c_1,1,week8,none,0.002619857,0.00341229,0.003719706,0.003789029,0.003883786,0.003928161,0.003885304,0.003862629,0.003965612,0.004266343,0.004619252,0.004699843,0.004479948
ch2stziii3b_1,1,week8,none,0.000450223,0.000526167,0.00056066,0.000551811,0.000529486,0.000516349,0.000516701,0.000530356,0.000553416,0.000573506,0.000590972,0.000632342,0.000706335
ch2stziii3a_1,1,week8,none,0.000361223,0.000365569,0.000367904,0.000379396,0.000410746,0.000473827,0.000560383,0.000634321,0.000669687,0.000679439,0.00070189,0.000751259,0.000793558
ch2stziii2c_1,1,week8,none,0.000434159,0.00054849,0.000654188,0.000727043,0.000779314,0.000891365,0.001133501,0.00145997,0.001714091,0.0017562,0.001581713,0.001290332,0.000988226
ch2stziii2a_1,1,week8,none,0.050246994,0.03739996,0.029899414,0.023310071,0.017611814,0.014840471,0.015129416,0.016584211,0.017759738,0.017957164,0.016751072,0.014489148,0.012160843
ch2stziii1c_1,1,week8,none,0.000812126,0.000927986,0.000933147,0.000849051,0.000763025,0.000729403,0.00074125,0.000770826,0.000801449,0.000825494,0.000828501,0.000804491,0.000781665
ch2stziii1b_1,1,week8,none,0.000588215,0.000754501,0.000929809,0.001011861,0.00097689,0.000907508,0.000870496,0.000860798,0.000885431,0.000975232,0.001091825,0.001144809,0.001100724
ch2stziii1a_1,1,week8,none,0.001185161,0.00134424,0.00144943,0.001481063,0.001471755,0.001460621,0.001465865,0.00148907,0.001528675,0.001571252,0.001598438,0.001606143,0.00159517
ch2stzii4d_1,1,week6,none,0.000371124,0.000465571,0.000532374,0.000601744,0.000729649,0.000906258,0.001055816,0.001104433,0.001027057,0.000874203,0.00073255,0.000643991,0.000593921
ch2stzii4c_1,1,week6,none,0.000475605,0.00053252,0.000581074,0.000673964,0.000829177,0.001011753,0.001137966,0.001134605,0.001004359,0.00082289,0.000676703,0.000597648,0.000553806
ch2stzii4b_1,1,week6,none,0.0002933,0.00041105,0.000510994,0.000578397,0.000666537,0.000797923,0.000883113,0.000831404,0.000679344,0.000530558,0.00044245,0.000408399,0.00039677
ch2stzii4a_1,1,week6,none,0.000363756,0.000405824,0.000458122,0.000512574,0.000582595,0.000726628,0.00096392,0.001191716,0.00127323,0.001172979,0.000963296,0.00074491,0.000586065
ch2stzii3c_1,1,week6,none,0.000130607,0.000140036,0.000146481,0.000160176,0.000196501,0.000265753,0.000356926,0.000432506,0.000453963,0.000426238,0.000398021,0.000407335,0.000444835
ch2stzii3b_1,1,week6,none,0.000193172,0.00020032,0.00019823,0.00019408,0.000197535,0.000212022,0.00023721,0.000272718,0.000313994,0.000352977,0.000393317,0.000450923,0.000524329
ch2stzii3a_1,1,week6,none,0.000167408,0.000175664,0.000189126,0.000213642,0.0002524,0.000295898,0.000330742,0.0003522,0.000364,0.000381409,0.000424913,0.000492966,0.0005559
ch2stzii2c_1,1,week6,none,0.002551857,0.001907644,0.00172323,0.001979929,0.002481141,0.002829678,0.002741579,0.002311003,0.00185615,0.001605957,0.001581534,0.001683971,0.001801827
ch2stzii2b_1,1,week6,none,0.000311643,0.000287967,0.000276391,0.000275189,0.000281355,0.000295255,0.000324875,0.000382048,0.000477813,0.000607066,0.000730893,0.000810296,0.000857766
ch2stzii2a_1,1,week6,none,0.000564772,0.000508575,0.000437596,0.000413703,0.000449111,0.000524,0.000623529,0.000740453,0.000861867,0.0009571,0.000978191,0.000912923,0.000810253
