patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ctlxii2od(1)_1,1,health,none,0.000891941,0.001287906,0.002239807,0.00344849,0.00405105,0.003629095,0.002636224,0.001718782,0.001153671,0.000879982,0.000748636,0.000680374,0.000665147
ctlxii1oi_2,2,health,none,0.000470662,0.000630777,0.000804838,0.00095262,0.001024205,0.001001846,0.000919627,0.000826389,0.000754146,0.000806942,0.001285848,0.002348555,0.003416792
ctlxii1oi_1,1,health,none,0.000569307,0.000713231,0.00086305,0.000970084,0.001008042,0.001000712,0.000988174,0.000964208,0.000892006,0.000844226,0.001137856,0.002044395,0.003133995
ctlxii1oi(1)_2,2,health,none,0.000470662,0.000630777,0.000804838,0.00095262,0.001024205,0.001001846,0.000919627,0.000826389,0.000754146,0.000806942,0.001285848,0.002348555,0.003416792
ctlxii1oi(1)_1,1,health,none,0.000569307,0.000713231,0.00086305,0.000970084,0.001008042,0.001000712,0.000988174,0.000964208,0.000892006,0.000844226,0.001137856,0.002044395,0.003133995
ctlxii1od_2,2,health,none,0.000134371,0.000202802,0.000285948,0.000354631,0.000383938,0.000370604,0.000335424,0.000302735,0.000290519,0.000386837,0.000849598,0.001811603,0.002765756
ctlxii1od_1,1,health,none,0.000167089,0.000232658,0.000300026,0.000349702,0.000373956,0.000384468,0.000395865,0.00040264,0.000392805,0.000434027,0.00078027,0.001643326,0.002633033
ctlvi2oi_2,2,health,none,0.000483266,0.000363373,0.0002583,0.000198629,0.000210621,0.000380196,0.00081966,0.00140006,0.001715359,0.001549736,0.001095945,0.000653772,0.000363959
ctlvi2oi_1,1,health,none,0.000694436,0.000671944,0.000664922,0.000655553,0.000674685,0.000858224,0.001391283,0.002140345,0.002560678,0.002333214,0.001710102,0.001104167,0.000708068
ctlvi2oi(1)_2,2,health,none,0.000386368,0.000402724,0.000406131,0.000403981,0.000372563,0.000319208,0.000342033,0.000680915,0.001509105,0.002440006,0.002754333,0.002283334,0.001492061
ctlvi2oi(1)_1,1,health,none,0.000733106,0.000777257,0.000800313,0.000787874,0.000749956,0.000699356,0.000691141,0.000915182,0.001542726,0.002285233,0.00253714,0.002127177,0.00143557
ctlvi2od_2,2,health,none,0.001896649,0.001416838,0.001011125,0.000825611,0.001080673,0.00265137,0.006713717,0.01212371,0.015059625,0.013513968,0.009345685,0.005348423,0.002764572
ctlvi2od_1,1,health,none,0.001763618,0.001353522,0.001087776,0.001002109,0.001326776,0.003050693,0.007623856,0.014000592,0.017759828,0.016214564,0.011350168,0.006557035,0.00344076
ctlvi2od(1)_2,2,health,none,0.001097888,0.001178044,0.00124754,0.001276447,0.001176016,0.000997848,0.001100157,0.002287776,0.005106164,0.008233013,0.009274187,0.00769495,0.005066111
ctlvi2od(1)_1,1,health,none,0.001015949,0.001097613,0.00109306,0.001047298,0.000986013,0.000913016,0.000991658,0.001808148,0.003910894,0.006418386,0.007407763,0.006292229,0.004244719
ctlvi1oi_2,2,health,none,0.001838036,0.001890174,0.001887253,0.001966819,0.002542263,0.005324586,0.013858241,0.028130055,0.039369269,0.038986375,0.028955213,0.017246802,0.008929935
ctlvi1oi_1,1,health,none,0.002123925,0.001945596,0.001895834,0.00199634,0.002518315,0.005031594,0.012903868,0.026152091,0.036501027,0.035936305,0.026468807,0.015633166,0.008103033
ctlvi1oi(1)_2,2,health,none,0.001447667,0.001600686,0.00154564,0.001353405,0.001542101,0.003757268,0.010313319,0.019764397,0.025505054,0.023399499,0.016308313,0.009293054,0.004788934
ctlvi1oi(1)_1,1,health,none,0.000892207,0.000980138,0.001068408,0.00124877,0.002025928,0.005221335,0.012906369,0.022471634,0.026914801,0.023349772,0.015691575,0.008825545,0.004619285
ctlvi1od_2,2,health,none,0.001683715,0.001669108,0.001529728,0.001417538,0.001493242,0.001997628,0.0034312,0.005808209,0.007736549,0.007749934,0.00610381,0.004140841,0.002749509
ctlvi1od_1,1,health,none,0.001631823,0.001531822,0.001528011,0.001592685,0.001800355,0.002443731,0.004015823,0.006349258,0.007954206,0.007573206,0.005716974,0.003764798,0.002517383
hfdvi1od(1)_1,1,disorder,none,0.00161032,0.001932616,0.002108631,0.0020932,0.001934146,0.001756144,0.001659202,0.002006343,0.004450097,0.011158006,0.020040004,0.024518526,0.021529668
hfdv3oi_2,2,disorder,none,0.00034932,0.000494857,0.000555422,0.000500627,0.000382591,0.00027028,0.000194725,0.000155849,0.000151771,0.000213368,0.000457853,0.000984636,0.001565422
hfdv3oi_1,1,disorder,none,0.000382202,0.000508658,0.000568014,0.00053649,0.000447556,0.000348471,0.000269638,0.000220857,0.000201593,0.000221612,0.000347779,0.000680948,0.001134872
hfdv3oi(1)_2,2,disorder,none,0.000231318,0.000305842,0.000372004,0.000396781,0.000373992,0.000327036,0.000284135,0.000261157,0.000259752,0.000286983,0.000406534,0.000703205,0.001075001
hfdv3oi(1)_1,1,disorder,none,0.000288167,0.000394061,0.00046752,0.000474034,0.000419944,0.000348787,0.000301188,0.000285001,0.000287311,0.000308954,0.000385175,0.000546156,0.000720804
hfdv3od_2,2,disorder,none,0.002316752,0.002881599,0.003032558,0.002683975,0.002183795,0.001780584,0.001488968,0.001297317,0.001220816,0.001335826,0.001905269,0.003037193,0.004084966
hfdv3od_1,1,disorder,none,0.000506398,0.000709104,0.000821537,0.000797424,0.000670048,0.000505696,0.000360037,0.000258588,0.000212434,0.000322071,0.001053969,0.003115841,0.00605294
hfdv3od(1)_2,2,disorder,none,0.001232245,0.001610814,0.001755142,0.001614095,0.001335736,0.001102565,0.000987804,0.000935807,0.000901761,0.001096831,0.002249127,0.005020618,0.008291377
hfdv3od(1)_1,1,disorder,none,0.000493306,0.000668774,0.000792593,0.000801075,0.000694307,0.00054165,0.00041756,0.000352341,0.000358018,0.000621518,0.001899092,0.00499541,0.008742381
hfdv2oi_2,2,disorder,none,0.000198665,0.000216628,0.000235692,0.0002415,0.000228708,0.000205302,0.000181705,0.000161241,0.000143707,0.000132048,0.00014381,0.000225874,0.000398234
hfdv2oi_1,1,disorder,none,0.0001524,0.000184106,0.000204925,0.000201173,0.000174372,0.000138668,0.000107113,8.30E-05,6.52E-05,5.86E-05,8.27E-05,0.000174724,0.000344229
hfdv2oi(1)_2,2,disorder,none,0.000125013,0.000210191,0.000292872,0.000335137,0.000324078,0.000276923,0.000222116,0.000180367,0.000156682,0.000144262,0.000152926,0.000281944,0.000736249
hfdv2oi(1)_1,1,disorder,none,0.000133917,0.000219742,0.000310465,0.000358368,0.00034644,0.000295262,0.000232896,0.000176984,0.000137226,0.000119233,0.000141497,0.000301537,0.000773818
hfdv2od_2,2,disorder,none,0.000400324,0.000566983,0.000704157,0.000738887,0.000661233,0.000524306,0.000394308,0.000304874,0.000258082,0.000285355,0.000656173,0.002100495,0.00491891
hfdv2od_1,1,disorder,none,0.000421468,0.000645136,0.000806505,0.000830599,0.000731415,0.000578321,0.000433547,0.000323294,0.000254523,0.00027139,0.000616572,0.001909362,0.0044249
hfdv2od(1)_2,2,disorder,none,0.000185381,0.000297161,0.000404667,0.000457029,0.000438631,0.000374341,0.000302018,0.000248326,0.000218962,0.000204832,0.000232606,0.000511267,0.001470622
hfdv2od(1)_1,1,disorder,none,0.000213573,0.000299829,0.000388631,0.000429881,0.000406652,0.000345993,0.000279982,0.000222846,0.000181286,0.000164027,0.00020948,0.000500612,0.001359209
hfdv1oi_2,2,disorder,none,0.000349808,0.000404224,0.000414298,0.000376676,0.000317121,0.000265873,0.000239627,0.000243083,0.000274133,0.000321461,0.000362947,0.000376012,0.000365519
hfdv1oi_1,1,disorder,none,0.000398787,0.000453714,0.000441717,0.000370826,0.000283242,0.000221449,0.000199808,0.000210577,0.000239437,0.00027387,0.000301927,0.000310129,0.000306722
hfdv1oi(1)_2,2,disorder,none,0.000118528,0.000173931,0.000224215,0.000261608,0.000294165,0.000316723,0.000311449,0.000277628,0.000234995,0.000203049,0.000187766,0.00018342,0.000181148
hfdv1oi(1)_1,1,disorder,none,0.000145581,0.00017233,0.000211926,0.00027843,0.000352787,0.000392285,0.000377406,0.000326579,0.000268673,0.000220505,0.000188835,0.00017571,0.000176389
hfdv1od_2,2,disorder,none,0.000253064,0.000284836,0.000291558,0.000266339,0.000221754,0.000179031,0.000153223,0.00014891,0.000163023,0.000187162,0.000208954,0.00021778,0.000233943
hfdv1od_1,1,disorder,none,0.000276197,0.000306521,0.000294934,0.000250032,0.000197886,0.000161358,0.000144679,0.000141502,0.000146463,0.000157314,0.000170687,0.000179998,0.000205784
hfdv1od(1)_2,2,disorder,none,0.000121232,0.000168882,0.000208859,0.00023587,0.000260227,0.000277443,0.000270229,0.000238364,0.000199722,0.000170073,0.000154321,0.000150014,0.000151378
hfdv1od(1)_1,1,disorder,none,0.000135938,0.000146839,0.000171148,0.000223025,0.000284723,0.000318731,0.000308468,0.000268707,0.000222365,0.000183295,0.000158443,0.000151293,0.000158431
hfdiv3oi_2,2,disorder,none,0.000664328,0.000902472,0.000951667,0.000796017,0.000559712,0.000362435,0.000244209,0.000193699,0.000196191,0.000249997,0.000356324,0.000626293,0.001713725
