patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch1lean2a_1,1,health,none,1.38E-07,1.61E-07,1.99E-07,2.44E-07,2.82E-07,3.10E-07,3.25E-07,3.18E-07,3.07E-07,3.34E-07,4.08E-07,4.97E-07,5.67E-07,5.98E-07,6.00E-07,6.17E-07,7.21E-07,9.37E-07,1.17E-06,1.30E-06,1.32E-06,1.37E-06,1.60E-06,2.13E-06,2.98E-06,4.02E-06,4.87E-06,5.55E-06,7.01E-06,1.05E-05,1.62E-05,2.41E-05,3.58E-05,5.45E-05,8.52E-05,0.000131472,0.000190303,0.000253967,0.000313193,0.000358874,0.000390981,0.000417011,0.000433577,0.000428078,0.000404458,0.000386352,0.000393361,0.000426247,0.000475079,0.0005308,0.000576079,0.000582841,0.000545053,0.000492716,0.000461554,0.000468268,0.000507081,0.000556341,0.000596489,0.000624971,0.000652193,0.000683696,0.000712347,0.00073154,0.00075058,0.000788292,0.000847318,0.000908221,0.000955505,0.000995149,0.001039576,0.001089744,0.001142815,0.001200581,0.001256655,0.001296694,0.001321477,0.001347152,0.001381912,0.001419301,0.001448203,0.001461615,0.001464973,0.001465647,0.001449043,0.001391404,0.001288781
ch1lean1d_1,1,health,none,2.10E-08,3.28E-08,4.19E-08,4.69E-08,4.72E-08,4.23E-08,3.47E-08,2.88E-08,2.77E-08,3.52E-08,5.92E-08,9.74E-08,1.30E-07,1.47E-07,1.70E-07,2.23E-07,3.07E-07,3.97E-07,4.85E-07,5.99E-07,7.89E-07,1.09E-06,1.55E-06,2.23E-06,3.05E-06,3.84E-06,4.60E-06,5.75E-06,8.46E-06,1.56E-05,3.08E-05,5.29E-05,7.26E-05,8.25E-05,8.40E-05,8.27E-05,8.16E-05,8.12E-05,8.25E-05,9.00E-05,0.000112532,0.000151889,0.000189254,0.000204185,0.000200584,0.000195932,0.000197378,0.000201723,0.000207561,0.000218332,0.000237933,0.000264129,0.000287309,0.000301627,0.000311955,0.000325544,0.000343188,0.000359089,0.000366393,0.000360373,0.000339089,0.000308236,0.000281534,0.000269196,0.00026902,0.000270481,0.00026474,0.00025164,0.000235639,0.000217581,0.00019638,0.000174239,0.000155266,0.000142314,0.000136161,0.000134363,0.00013179,0.000125134,0.000115423,0.000105365,9.62E-05,8.73E-05,7.83E-05,6.96E-05,6.22E-05,5.63E-05,5.21E-05
ch1lean1c_1,1,health,none,5.33E-08,3.71E-08,2.60E-08,2.08E-08,2.08E-08,2.61E-08,3.47E-08,4.30E-08,5.05E-08,5.70E-08,6.15E-08,7.22E-08,1.11E-07,1.87E-07,2.75E-07,3.49E-07,4.64E-07,6.88E-07,9.58E-07,1.14E-06,1.22E-06,1.33E-06,1.62E-06,2.19E-06,3.11E-06,4.52E-06,6.58E-06,9.54E-06,1.43E-05,2.35E-05,3.98E-05,6.01E-05,7.45E-05,7.74E-05,7.47E-05,7.53E-05,8.23E-05,9.48E-05,0.000111398,0.000131629,0.000153782,0.000172596,0.000183015,0.000188009,0.000196997,0.000214241,0.000238954,0.000270887,0.000306003,0.000334345,0.000351444,0.000365065,0.000383416,0.000403453,0.000417711,0.000425355,0.000427502,0.000419193,0.00039635,0.000366534,0.000343897,0.000333172,0.000325165,0.00030931,0.000285096,0.000259492,0.000238553,0.000224007,0.000214067,0.000206256,0.0001992,0.000191428,0.000181787,0.000170911,0.000160482,0.000151382,0.000142623,0.000132499,0.000120676,0.000108327,9.67E-05,8.61E-05,7.64E-05,6.73E-05,5.90E-05,5.18E-05,4.62E-05
ch1lean1b_1,1,health,none,9.82E-08,1.21E-07,1.29E-07,1.29E-07,1.35E-07,1.48E-07,1.59E-07,1.56E-07,1.36E-07,1.10E-07,1.02E-07,1.28E-07,1.84E-07,2.65E-07,3.74E-07,5.11E-07,6.62E-07,8.37E-07,1.07E-06,1.35E-06,1.64E-06,1.90E-06,2.29E-06,3.06E-06,4.25E-06,5.69E-06,7.26E-06,9.32E-06,1.30E-05,2.00E-05,3.04E-05,4.29E-05,5.59E-05,6.84E-05,7.84E-05,8.60E-05,9.49E-05,0.000105197,0.000114743,0.000126872,0.000147015,0.000171123,0.000189748,0.000203373,0.000225358,0.000264843,0.000308644,0.000336825,0.000352729,0.000377876,0.000421886,0.000475553,0.000525508,0.00055649,0.000554403,0.00052214,0.000477747,0.000433651,0.000392664,0.000358573,0.000336525,0.000327413,0.000325914,0.000322088,0.000309599,0.000291939,0.000275791,0.000262051,0.000246496,0.000227,0.000207182,0.000191716,0.000181647,0.000174966,0.000168811,0.000159863,0.000145482,0.000126763,0.000108028,9.29E-05,8.21E-05,7.38E-05,6.66E-05,6.02E-05,5.46E-05,4.94E-05,4.45E-05
ch1lean1a_1,1,health,none,5.29E-08,5.20E-08,6.13E-08,8.25E-08,1.04E-07,1.07E-07,9.31E-08,8.41E-08,9.87E-08,1.37E-07,1.81E-07,2.27E-07,3.07E-07,4.45E-07,6.22E-07,8.13E-07,9.86E-07,1.06E-06,1.01E-06,1.02E-06,1.46E-06,2.51E-06,3.83E-06,4.95E-06,5.74E-06,6.59E-06,8.27E-06,1.13E-05,1.55E-05,2.30E-05,3.85E-05,6.49E-05,9.81E-05,0.000126342,0.000138022,0.000133925,0.000126496,0.000127313,0.000139213,0.000157039,0.000176349,0.000197607,0.000217792,0.000231943,0.000243355,0.000257837,0.000273727,0.000287999,0.000304336,0.000326813,0.000353248,0.000379608,0.000403352,0.000420978,0.000429654,0.000431359,0.000428113,0.000418028,0.000401789,0.000382174,0.00035694,0.000325563,0.000296196,0.000277659,0.000269575,0.000264122,0.000255964,0.000245288,0.000233542,0.000220835,0.000206647,0.000191467,0.000176379,0.000162078,0.000149863,0.000140475,0.000131306,0.000119155,0.000104595,9.07E-05,7.95E-05,7.16E-05,6.67E-05,6.37E-05,6.21E-05,6.18E-05,6.13E-05
ch2lean1c_1,1,health,none,2.93E-08,3.52E-08,4.57E-08,5.66E-08,7.17E-08,9.45E-08,1.16E-07,1.23E-07,1.15E-07,1.03E-07,9.62E-08,9.87E-08,1.14E-07,1.45E-07,1.90E-07,2.55E-07,3.82E-07,5.83E-07,7.72E-07,8.56E-07,8.62E-07,9.25E-07,1.23E-06,1.96E-06,3.27E-06,5.11E-06,7.24E-06,9.53E-06,1.28E-05,1.91E-05,3.06E-05,4.51E-05,5.61E-05,5.92E-05,5.84E-05,5.99E-05,6.62E-05,7.66E-05,9.08E-05,0.00010897,0.000128554,0.000144155,0.000151962,0.000155431,0.000162927,0.000178821,0.000203403,0.000235411,0.000268618,0.000294945,0.000316543,0.000343122,0.000372999,0.000392677,0.00039648,0.000391909,0.000388472,0.000388083,0.000385731,0.000378314,0.000367972,0.00035568,0.000338371,0.000314667,0.000288681,0.000265971,0.000248887,0.000236758,0.000227462,0.00021905,0.000211203,0.000204137,0.000197195,0.000190043,0.000183601,0.00017747,0.000168773,0.000156164,0.000141458,0.000126764,0.000112962,0.000100437,8.94E-05,7.97E-05,7.09E-05,6.29E-05,5.56E-05
ch2lean1b_1,1,health,none,1.51E-08,1.30E-08,1.85E-08,4.37E-08,9.70E-08,1.60E-07,1.99E-07,1.97E-07,1.67E-07,1.35E-07,1.24E-07,1.44E-07,1.89E-07,2.58E-07,3.43E-07,4.17E-07,4.71E-07,5.53E-07,7.27E-07,1.00E-06,1.31E-06,1.56E-06,1.77E-06,2.16E-06,2.91E-06,4.02E-06,5.59E-06,8.19E-06,1.27E-05,1.93E-05,2.74E-05,3.65E-05,4.63E-05,5.59E-05,6.33E-05,6.88E-05,7.56E-05,8.36E-05,9.13E-05,0.000101403,0.000117669,0.000138392,0.00016006,0.000183262,0.000211193,0.000243102,0.000269086,0.00028134,0.000289079,0.000311618,0.000358196,0.000419863,0.000478143,0.000517687,0.00053066,0.000514127,0.000473812,0.000423725,0.00037664,0.000340397,0.000320657,0.000320457,0.000331365,0.000334139,0.000318853,0.000293829,0.000271182,0.000255428,0.000243988,0.000231502,0.000216572,0.000203777,0.000195956,0.000189554,0.000180649,0.000168924,0.00015488,0.000139005,0.000122867,0.000108253,9.58E-05,8.53E-05,7.60E-05,6.80E-05,6.14E-05,5.61E-05,5.14E-05
ch2lean1a_1,1,health,none,1.23E-07,1.39E-07,1.54E-07,1.67E-07,1.99E-07,2.39E-07,2.56E-07,2.55E-07,2.54E-07,2.54E-07,2.50E-07,2.59E-07,3.04E-07,3.90E-07,4.87E-07,5.90E-07,7.68E-07,1.04E-06,1.30E-06,1.60E-06,2.30E-06,3.51E-06,4.76E-06,5.52E-06,5.79E-06,5.88E-06,6.49E-06,8.63E-06,1.32E-05,2.08E-05,3.29E-05,5.01E-05,7.09E-05,8.95E-05,9.85E-05,9.72E-05,9.41E-05,9.70E-05,0.000104593,0.000110953,0.000117629,0.000133055,0.000159909,0.000191549,0.000220182,0.000240173,0.000249289,0.000255787,0.00027435,0.000306407,0.000341772,0.000382366,0.000432543,0.000471626,0.000475681,0.000451442,0.000421799,0.000398318,0.000382057,0.000371471,0.00035973,0.000339839,0.000314535,0.000292089,0.000276336,0.000264684,0.00025496,0.000249621,0.000247923,0.000241167,0.000223756,0.000200966,0.000181026,0.000166349,0.000154937,0.000144727,0.00013409,0.000122094,0.000109442,9.75E-05,8.73E-05,7.90E-05,7.27E-05,6.78E-05,6.36E-05,5.97E-05,5.53E-05
ch1obb4c_1,1,disorder,none,1.15E-05,1.94E-05,3.30E-05,5.57E-05,9.09E-05,0.000140075,0.000193062,0.000232304,0.000250396,0.000252892,0.00024647,0.000230683,0.000201563,0.000172544,0.000202927,0.000393554,0.000823109,0.001471512,0.002170184,0.002634441,0.002645338,0.0022329,0.001686089,0.00141552,0.001743418,0.002647745,0.003651702,0.004170034,0.004149352,0.004213768,0.005020248,0.006521525,0.007955999,0.008774683,0.00933268,0.010620017,0.013769979,0.018838922,0.023960167,0.027015298,0.027123332,0.024321944,0.019417983,0.013961202,0.009435387,0.006425141,0.004730756,0.003999489,0.003978447,0.004385434,0.004821748,0.004973215,0.00482045,0.004504588,0.00410291,0.003611967,0.003050573,0.002513076,0.002115787,0.001903043,0.001812297,0.001751162,0.001691541,0.001651729,0.001620291,0.001554745,0.00144029,0.001306754,0.001192043,0.001108368,0.001040784,0.000967385,0.000881496,0.000797763,0.000732338,0.000680509,0.000627715,0.000573617,0.000527873,0.000494896,0.000473967,0.000461565,0.000450966,0.000436487,0.000415964,0.000387623,0.000348273
ch1obb4b_1,1,disorder,none,2.24E-06,3.11E-06,3.81E-06,4.31E-06,4.90E-06,6.36E-06,9.71E-06,1.48E-05,2.09E-05,2.84E-05,3.80E-05,5.04E-05,6.90E-05,9.74E-05,0.000135316,0.000177231,0.000223778,0.000289039,0.000384379,0.0004913,0.000569198,0.000617095,0.000691376,0.000836594,0.001046714,0.001294643,0.001542228,0.001747765,0.001883458,0.001930574,0.001948641,0.002198718,0.003072449,0.004737243,0.007226668,0.011026451,0.016339295,0.021785153,0.02497587,0.024321018,0.020343149,0.015222393,0.010964917,0.008223658,0.006643171,0.005768401,0.005481119,0.005790106,0.00638121,0.006622692,0.006149736,0.005191394,0.004209102,0.003448292,0.002917254,0.002579997,0.002411546,0.002354159,0.002334308,0.002317011,0.002300509,0.002269422,0.002185645,0.002024183,0.00180805,0.001598758,0.001437146,0.001310642,0.001189885,0.001071179,0.000969123,0.000882173,0.000793228,0.000701445,0.000623464,0.000566979,0.00052192,0.000480294,0.000448112,0.000428984,0.000416065,0.000404384,0.000394093,0.000382405,0.000362934,0.000332334,0.000291744
