patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch2ctliv3c_1,1,week12,none,2.10E-05,1.55E-05,1.30E-05,1.35E-05,1.55E-05,1.72E-05,1.79E-05,1.71E-05,1.58E-05,1.55E-05,1.63E-05,1.72E-05,1.86E-05,2.23E-05,2.89E-05,3.51E-05,3.70E-05,3.48E-05,3.42E-05,4.03E-05,5.07E-05,5.94E-05,6.47E-05,6.99E-05,7.85E-05,9.60E-05,0.000128093,0.000165224,0.000183771,0.000179191,0.000173844,0.000188767,0.000225182,0.000267381,0.000296095,0.000308101,0.000332831,0.000444402,0.00069522,0.000975409,0.001090652,0.001001564,0.000827937,0.000687068,0.000615183,0.000582612,0.000557561,0.00055604,0.000609135,0.00069245,0.000741165,0.000733199,0.000706814,0.000718588,0.000795262,0.00089105,0.000925968,0.000876277,0.000779378,0.000676625,0.000592345,0.000539897,0.000522721,0.000537924,0.000576452,0.000618454,0.000644277,0.000649748,0.000644023,0.000638635,0.000642027,0.000652817,0.000653152,0.000620692,0.000550576,0.000458187,0.000363716,0.000281149,0.000215785,0.000166018,0.000128376,0.000100521,8.04E-05,6.58E-05,5.46E-05,4.60E-05,3.89E-05
ch2ctliv3b_1,1,week12,none,2.65E-05,3.62E-05,5.04E-05,6.28E-05,6.61E-05,6.38E-05,6.74E-05,8.02E-05,9.09E-05,8.86E-05,7.60E-05,6.41E-05,5.81E-05,5.60E-05,5.51E-05,5.46E-05,5.45E-05,5.43E-05,5.57E-05,6.35E-05,7.75E-05,8.92E-05,9.44E-05,9.93E-05,0.00010935,0.000120719,0.000128723,0.000135653,0.000149896,0.000179967,0.000224512,0.000273555,0.000321988,0.000366589,0.000395961,0.000396531,0.000379053,0.000403839,0.000550755,0.000803973,0.001009594,0.00104582,0.000949161,0.000825243,0.000746603,0.00073791,0.000776605,0.00081904,0.000847285,0.000861753,0.000852894,0.000810733,0.00073965,0.000664962,0.000620602,0.000610274,0.000605171,0.000587051,0.000562069,0.00054089,0.000529351,0.000529101,0.000538222,0.000558946,0.000594909,0.000633361,0.000655317,0.000663355,0.000677079,0.00070606,0.000739535,0.000757064,0.000740187,0.000682539,0.000595491,0.000498585,0.000405019,0.000320368,0.000248239,0.000190846,0.000147754,0.000116251,9.26E-05,7.38E-05,5.83E-05,4.62E-05,3.72E-05
ch2ctliv3a_1,1,week12,none,0.000111355,0.000115926,0.000129887,0.000135671,0.000135427,0.000147093,0.000172523,0.000201037,0.000240133,0.000307692,0.000381026,0.000409692,0.000386441,0.000345718,0.000315211,0.000303893,0.000310616,0.000327002,0.000339625,0.000334062,0.000305839,0.000267396,0.000233553,0.000208419,0.000192942,0.000192125,0.000206614,0.000225581,0.000237557,0.000244377,0.000262251,0.000295307,0.000317262,0.000310157,0.000291353,0.000282224,0.000287125,0.000307494,0.000354514,0.000447734,0.000580822,0.000686262,0.00069484,0.000625851,0.000560166,0.000542778,0.000552426,0.000559089,0.00057456,0.000626855,0.000709185,0.000779737,0.000807997,0.000806825,0.000807546,0.000813447,0.000800953,0.000759943,0.000711272,0.00068274,0.000678917,0.000680869,0.000670484,0.000650497,0.000634898,0.000627014,0.000625228,0.000634266,0.000654473,0.000677957,0.000702478,0.00072725,0.000733957,0.000698169,0.000616633,0.000508699,0.000398765,0.000303619,0.00022992,0.000176756,0.000139339,0.0001124,9.18E-05,7.47E-05,5.98E-05,4.73E-05,3.76E-05
ch2ctliv2c_1,1,week12,none,4.28E-07,3.39E-07,3.03E-07,3.82E-07,5.80E-07,7.76E-07,8.85E-07,1.06E-06,1.60E-06,2.50E-06,3.42E-06,3.95E-06,4.10E-06,4.33E-06,5.09E-06,6.37E-06,7.70E-06,8.55E-06,9.10E-06,9.74E-06,1.02E-05,1.02E-05,1.00E-05,1.05E-05,1.24E-05,1.72E-05,2.66E-05,4.11E-05,6.19E-05,9.13E-05,0.000126988,0.000160352,0.000188772,0.000216697,0.000242424,0.000263443,0.000288583,0.000344003,0.000487279,0.000783579,0.001189474,0.00149761,0.001511174,0.001246069,0.000888801,0.000605409,0.000440926,0.000363533,0.000341008,0.000352665,0.00037079,0.000375286,0.000368262,0.000359741,0.000356991,0.000365974,0.000387808,0.000414197,0.000432629,0.000434613,0.000417997,0.000388952,0.00036015,0.000340552,0.000330921,0.000329992,0.000340212,0.000364887,0.000398486,0.000426203,0.000435888,0.000423962,0.00039115,0.000341445,0.000284365,0.000230529,0.000184567,0.000146196,0.000115565,9.31E-05,7.72E-05,6.60E-05,5.81E-05,5.26E-05,4.82E-05,4.37E-05,3.83E-05
ch2ctliv2b_1,1,week12,none,5.13E-07,5.29E-07,5.65E-07,7.51E-07,1.02E-06,1.14E-06,1.06E-06,9.23E-07,9.13E-07,1.19E-06,1.74E-06,2.31E-06,2.75E-06,3.06E-06,3.33E-06,3.56E-06,3.81E-06,4.73E-06,7.50E-06,1.20E-05,1.63E-05,1.92E-05,2.14E-05,2.45E-05,2.88E-05,3.40E-05,4.11E-05,5.11E-05,6.69E-05,8.94E-05,0.000111509,0.000126248,0.000135907,0.000146219,0.000163931,0.000204929,0.000304788,0.000502527,0.000774868,0.001011768,0.001111829,0.001066903,0.000929565,0.000757171,0.000590321,0.000449675,0.000347306,0.000290067,0.000267913,0.000259395,0.000253195,0.000250173,0.00025406,0.000274764,0.000324558,0.000392475,0.000440566,0.000446933,0.000430219,0.000417529,0.000413209,0.000408177,0.000395649,0.000371377,0.00033989,0.000318919,0.000322047,0.00034466,0.000371155,0.000388265,0.000391411,0.000380012,0.000353983,0.000316537,0.000273693,0.000231198,0.00019264,0.000159006,0.000129914,0.000105222,8.54E-05,7.06E-05,5.99E-05,5.18E-05,4.51E-05,3.89E-05,3.31E-05
ch2ctliv2a_1,1,week12,none,3.28E-07,4.88E-07,7.45E-07,1.00E-06,1.24E-06,1.54E-06,1.96E-06,2.39E-06,2.62E-06,2.51E-06,2.32E-06,2.38E-06,2.73E-06,3.23E-06,3.91E-06,4.80E-06,5.72E-06,6.63E-06,8.58E-06,1.28E-05,1.87E-05,2.45E-05,2.87E-05,3.11E-05,3.20E-05,3.21E-05,3.30E-05,3.48E-05,3.59E-05,3.72E-05,4.26E-05,5.52E-05,7.43E-05,9.99E-05,0.000137742,0.000190717,0.00025224,0.000317747,0.000394167,0.000483093,0.000561728,0.000601412,0.000596219,0.000564623,0.000534571,0.000522242,0.000515094,0.000486996,0.000434439,0.000375797,0.000325949,0.000293569,0.000285636,0.000299699,0.000322205,0.000342104,0.000356962,0.000367195,0.000376028,0.000387372,0.000399213,0.000404865,0.000400382,0.000390267,0.000381568,0.000375005,0.00036726,0.000357915,0.000352635,0.000358066,0.000371957,0.00038393,0.000383576,0.000364931,0.000328879,0.000281642,0.000231339,0.0001858,0.000149723,0.000123176,0.000103775,8.92E-05,7.79E-05,6.90E-05,6.15E-05,5.44E-05,4.70E-05
ch2ctliv1c_1,1,week12,none,5.94E-07,7.96E-07,1.05E-06,1.22E-06,1.23E-06,1.14E-06,1.02E-06,9.44E-07,9.48E-07,1.14E-06,1.55E-06,2.00E-06,2.35E-06,2.85E-06,4.02E-06,6.20E-06,8.90E-06,1.12E-05,1.34E-05,1.76E-05,2.39E-05,2.87E-05,2.95E-05,2.90E-05,3.12E-05,3.77E-05,5.01E-05,7.27E-05,0.000111272,0.000167983,0.000235087,0.000300298,0.000355049,0.000391706,0.000408313,0.000412594,0.000408527,0.000395044,0.000378976,0.00037945,0.000403788,0.000423209,0.000404738,0.000356188,0.000314652,0.000306757,0.00033272,0.000374677,0.000411764,0.000433681,0.000440342,0.000432799,0.000414124,0.000395967,0.000391277,0.000401268,0.000419203,0.000436377,0.000443419,0.00043837,0.000427323,0.000414586,0.000403739,0.000407871,0.000444075,0.000510747,0.000581286,0.000627595,0.000639609,0.000622198,0.000585931,0.000540147,0.000489014,0.000434623,0.000381139,0.000331617,0.000283861,0.000234918,0.000187287,0.000146673,0.000116059,9.43E-05,7.86E-05,6.62E-05,5.56E-05,4.63E-05,3.83E-05
ch2ctliv1b_1,1,week12,none,0.000172142,0.0002019,0.000225281,0.000234039,0.000248004,0.000271264,0.00029096,0.000303929,0.000308099,0.00029954,0.00028063,0.00025463,0.000225816,0.000202135,0.000190607,0.000195494,0.000222741,0.000283868,0.000395633,0.00057416,0.000826011,0.001123871,0.001393383,0.001567144,0.00163963,0.001634417,0.001552532,0.001383245,0.001152527,0.000948046,0.000874134,0.00096444,0.001164399,0.001377494,0.001485112,0.001411703,0.001211833,0.001021881,0.0009262,0.000901563,0.000875967,0.00082093,0.000770128,0.000755174,0.000764398,0.000761996,0.000731495,0.000695009,0.000670945,0.00064655,0.000613131,0.000585064,0.000578141,0.000590909,0.00060536,0.000603392,0.000584624,0.000569187,0.000579108,0.00061647,0.000661776,0.000691163,0.000694752,0.000681236,0.000663135,0.00064731,0.000639459,0.000640205,0.000640066,0.00062887,0.000604621,0.000570535,0.000529028,0.000480922,0.000427939,0.000372461,0.000316156,0.000261378,0.000211919,0.000170833,0.00013873,0.000114065,9.43E-05,7.74E-05,6.27E-05,5.01E-05,3.97E-05
ch2ctliv1a_1,1,week12,none,1.38E-06,1.84E-06,2.38E-06,2.63E-06,2.37E-06,1.92E-06,1.87E-06,2.53E-06,3.64E-06,4.52E-06,4.87E-06,5.01E-06,5.39E-06,6.13E-06,7.28E-06,8.51E-06,9.17E-06,9.14E-06,9.40E-06,1.12E-05,1.49E-05,1.94E-05,2.34E-05,2.83E-05,3.72E-05,5.18E-05,7.01E-05,8.54E-05,9.56E-05,0.000107498,0.00013001,0.000164629,0.000200457,0.000224684,0.000239673,0.000257064,0.000280773,0.000309835,0.000340835,0.000358485,0.000347626,0.000315454,0.000286434,0.000281378,0.000306443,0.000353591,0.000406339,0.000448549,0.000474151,0.000487054,0.000496493,0.000508068,0.000513531,0.000510362,0.00051814,0.00054733,0.000580226,0.000596175,0.000590094,0.000573292,0.000561383,0.00055503,0.000545459,0.000534209,0.000534068,0.0005555,0.000594609,0.000634667,0.000661049,0.000669067,0.00065742,0.000624714,0.000572645,0.000506802,0.000435619,0.000367185,0.00030453,0.000247311,0.000196623,0.000154949,0.000123395,0.000100472,8.34E-05,7.00E-05,5.90E-05,4.95E-05,4.09E-05
ch2ctliii2c_1,1,week8,none,8.19E-05,7.31E-05,6.21E-05,5.72E-05,5.61E-05,5.18E-05,4.57E-05,4.77E-05,6.27E-05,8.36E-05,0.00010878,0.000153727,0.000224052,0.000299778,0.000369303,0.000434855,0.000470914,0.000443834,0.000365396,0.000284237,0.000235416,0.00021468,0.000200712,0.000183486,0.000168719,0.000168446,0.000184058,0.000200751,0.000209472,0.000225272,0.000269229,0.000332556,0.000384139,0.000416036,0.000447469,0.000498636,0.000591944,0.000751655,0.00097898,0.001225221,0.001391594,0.001409488,0.001318304,0.001221877,0.001181675,0.001168181,0.001126933,0.001058964,0.000999603,0.000952748,0.000895766,0.00082522,0.000760812,0.000721008,0.000705326,0.000696209,0.000680702,0.000658643,0.000631166,0.000594524,0.000546956,0.000497529,0.000463109,0.000453075,0.000457615,0.000456218,0.00043705,0.000405101,0.000375366,0.00035764,0.000346618,0.000328385,0.000296899,0.000260075,0.00022721,0.00019832,0.000170062,0.000142887,0.000118622,9.82E-05,8.21E-05,7.01E-05,6.08E-05,5.31E-05,4.68E-05,4.12E-05,3.57E-05
ch2ctliii2b_1,1,week8,none,2.85E-05,2.61E-05,2.45E-05,2.21E-05,2.11E-05,2.35E-05,2.66E-05,2.97E-05,3.67E-05,4.82E-05,6.21E-05,8.02E-05,0.00010074,0.000115643,0.000120037,0.000116408,0.000107344,9.55E-05,8.64E-05,8.39E-05,9.22E-05,0.000120525,0.000163353,0.000190502,0.000181364,0.00014829,0.000115359,9.50E-05,8.87E-05,9.40E-05,0.000106983,0.000122185,0.00013801,0.000165231,0.000228426,0.000343505,0.000499303,0.000670623,0.000820993,0.000895454,0.000865135,0.000777337,0.000716229,0.000719856,0.000757437,0.000777755,0.000763609,0.000731446,0.000691524,0.000640794,0.000588903,0.000552878,0.000532769,0.000519264,0.000510258,0.000507266,0.000507795,0.000504466,0.000490952,0.000468442,0.000443,0.000418943,0.000397163,0.00037687,0.000358892,0.000348337,0.000350458,0.00036107,0.000366245,0.000354475,0.00032494,0.000284545,0.000241982,0.000203386,0.000170451,0.000141843,0.000116093,9.35E-05,7.51E-05,6.15E-05,5.22E-05,4.59E-05,4.06E-05,3.56E-05,3.08E-05,2.67E-05,2.31E-05
ch2ctliii2a_1,1,week8,none,2.04E-05,2.23E-05,2.70E-05,3.39E-05,4.18E-05,5.13E-05,6.34E-05,7.68E-05,8.63E-05,8.90E-05,9.41E-05,0.000113492,0.000139051,0.000148585,0.00013469,0.000108481,8.67E-05,8.62E-05,0.000119556,0.000187969,0.000267651,0.000314609,0.000307421,0.00027401,0.000258723,0.000271564,0.000285815,0.000281264,0.000268255,0.000265719,0.000277108,0.000297315,0.000332728,0.000408498,0.000555861,0.000780601,0.001033301,0.001218236,0.001259095,0.001174774,0.001048967,0.000940282,0.000870545,0.000836229,0.000808474,0.000761126,0.000691001,0.000621479,0.000601899,0.000669546,0.000788544,0.000868216,0.000862282,0.000803422,0.000741241,0.000692082,0.000648081,0.000602166,0.000557165,0.0005202,0.000492417,0.000468905,0.000451122,0.000449127,0.000464295,0.000482179,0.000489207,0.000485799,0.000484702,0.0005135,0.000600212,0.000739318,0.000893376,0.000994542,0.000963813,0.000797567,0.000580782,0.000392965,0.00025826,0.000170512,0.000117517,8.61E-05,6.59E-05,5.16E-05,4.10E-05,3.31E-05,2.69E-05
ch2ctliii1c_1,1,week8,none,2.77E-06,2.79E-06,3.28E-06,4.25E-06,5.23E-06,5.89E-06,7.17E-06,1.10E-05,1.82E-05,2.78E-05,3.59E-05,3.95E-05,4.03E-05,4.52E-05,5.95E-05,7.74E-05,8.77E-05,8.64E-05,7.91E-05,7.21E-05,6.76E-05,6.52E-05,6.38E-05,6.14E-05,5.78E-05,5.50E-05,5.44E-05,5.47E-05,5.47E-05,5.54E-05,5.73E-05,5.89E-05,6.03E-05,6.31E-05,6.76E-05,7.47E-05,8.96E-05,0.000116758,0.000152111,0.000187809,0.000217972,0.000237252,0.000246929,0.000257815,0.000277335,0.000306716,0.000342932,0.000369729,0.000366605,0.000344845,0.000379376,0.000562708,0.000836987,0.000982422,0.00088904,0.000666463,0.000465325,0.000344538,0.000291806,0.000278612,0.000287555,0.000312776,0.000342373,0.000354204,0.000335907,0.00029355,0.000242375,0.000196959,0.000163984,0.000141857,0.000127956,0.000122559,0.000125371,0.000131871,0.000134554,0.000127689,0.000111285,9.08E-05,7.29E-05,6.07E-05,5.35E-05,4.94E-05,4.66E-05,4.43E-05,4.18E-05,3.88E-05,3.51E-05
