patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ctrlcontrolle_2121_lignedebase_0_500hz1_2,2,health,none,9.96E-09,7.27E-09,5.11E-09,3.47E-09,2.24E-09,1.38E-09,8.22E-10,5.42E-10,4.81E-10,5.60E-10,7.05E-10,8.61E-10,9.92E-10
rpp23h_89452_lignedebase_0_500hz1_4,4,disorder,none,1.07E-11,1.00E-11,9.80E-12,9.77E-12,9.24E-12,8.03E-12,6.74E-12,6.02E-12,5.88E-12,6.04E-12,6.32E-12,6.54E-12,6.51E-12
rpp23h_89452_lignedebase_0_500hz1_3,3,disorder,none,1.46E-11,1.55E-11,1.88E-11,2.27E-11,2.38E-11,2.12E-11,1.69E-11,1.30E-11,1.04E-11,8.95E-12,8.30E-12,8.11E-12,7.95E-12
rpp23h_89452_lignedebase_0_500hz1_2,2,disorder,none,8.48E-12,8.96E-12,1.16E-11,1.59E-11,1.83E-11,1.66E-11,1.24E-11,8.50E-12,6.29E-12,5.48E-12,5.45E-12,5.77E-12,6.38E-12
rpp23h_89452_lignedebase_0_500hz1_1,1,disorder,none,1.80E-11,1.85E-11,1.97E-11,2.14E-11,2.19E-11,2.02E-11,1.72E-11,1.43E-11,1.23E-11,1.09E-11,1.02E-11,9.95E-12,1.04E-11
rpp23h_89051_lignedebase_0_500hz1_4,4,disorder,none,7.01E-11,1.05E-10,1.69E-10,2.28E-10,2.41E-10,2.10E-10,1.59E-10,1.15E-10,8.74E-11,7.39E-11,6.82E-11,6.67E-11,6.90E-11
rpp23h_89051_lignedebase_0_500hz1_3,3,disorder,none,2.25E-09,1.90E-09,1.61E-09,1.34E-09,1.08E-09,8.63E-10,6.79E-10,5.31E-10,4.21E-10,3.47E-10,2.98E-10,2.64E-10,2.37E-10
rpp23h_89051_lignedebase_0_500hz1_2,2,disorder,none,7.62E-11,1.10E-10,1.73E-10,2.31E-10,2.45E-10,2.13E-10,1.62E-10,1.17E-10,8.92E-11,7.61E-11,7.20E-11,7.41E-11,8.18E-11
rpp23h_89051_lignedebase_0_500hz1_1,1,disorder,none,1.40E-09,1.19E-09,1.02E-09,8.68E-10,7.25E-10,5.89E-10,4.68E-10,3.65E-10,2.87E-10,2.38E-10,2.15E-10,2.10E-10,2.09E-10
rpp23h_88988_lignedebase_0_500hz1_4,4,disorder,none,1.67E-10,1.73E-10,1.40E-10,9.41E-11,5.65E-11,3.40E-11,2.42E-11,2.37E-11,3.09E-11,4.25E-11,5.11E-11,5.09E-11,4.34E-11
rpp23h_88988_lignedebase_0_500hz1_3,3,disorder,none,2.48E-09,2.18E-09,1.88E-09,1.58E-09,1.29E-09,1.03E-09,8.25E-10,6.86E-10,5.98E-10,5.37E-10,4.67E-10,3.76E-10,2.84E-10
