patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
c57bl6jstz1_2,2,disorder,none,0.08001412,0.098542418,0.107096652,0.09824558,0.076944083,0.058799542,0.05380674,0.059048854,0.067501575,0.074984723,0.081723932,0.0929247,0.109364062,0.123564286,0.132890579,0.137342223,0.130862951,0.112404839,0.092984076,0.084899594,0.090121524,0.101692496,0.111904472,0.116090954,0.112466618,0.102515761,0.091027192,0.082354146,0.077266584,0.07418814,0.071261021,0.067746516,0.064466014,0.062359957,0.060823229,0.058139997,0.054971599,0.055808946,0.06516826,0.084615944,0.114188142,0.153144147,0.196014066,0.235631135,0.297177446,0.459879134,0.737385332,0.957776252,0.942952591,0.727794221,0.474705624,0.289455288,0.184241564,0.135222915,0.121049523,0.126396565,0.138246032,0.146031265,0.144610363,0.135225529,0.122541551,0.110996402,0.102584862,0.096842684,0.092497165,0.089150556,0.086560554,0.083022624,0.077272101,0.070152825,0.062696299,0.055103769,0.047771282,0.041351038,0.035989444,0.031401477,0.0273457,0.02371673,0.02046712,0.017578529,0.015045877,0.012882172,0.011116804,0.009772956,0.008858789,0.008356082,0.008166587
c57bl6jstz1_1,1,disorder,none,0.232038993,0.171520398,0.125896788,0.108641703,0.117473455,0.138083672,0.153791381,0.16053025,0.16657053,0.180166995,0.201087971,0.228952359,0.279615328,0.361142567,0.443162803,0.497906363,0.537208391,0.57861842,0.629858804,0.693894132,0.749983467,0.776929282,0.78605031,0.798571869,0.822164175,0.853509501,0.885692649,0.916600662,0.944188925,0.95473527,0.932513467,0.88283812,0.829076639,0.781720133,0.729671319,0.66438278,0.594787088,0.538372628,0.507108024,0.499075381,0.498953024,0.49548097,0.49789807,0.528280759,0.630815784,0.898290586,1.328131248,1.651470286,1.597922486,1.231740203,0.814549652,0.511695479,0.335539712,0.241644305,0.194744199,0.178428665,0.184748679,0.201633468,0.211686842,0.204628573,0.184530127,0.16215457,0.144000725,0.129979254,0.117950886,0.107300983,0.098332608,0.090439149,0.082628314,0.074775169,0.067461311,0.060866207,0.054387762,0.047712479,0.04127895,0.03558993,0.030796392,0.026745657,0.023189715,0.019989903,0.017159423,0.014729903,0.012663683,0.010962847,0.009716533,0.008972616,0.008659049
c57bl6jstz15_2,2,disorder,none,0.000129811,0.000154985,0.000143767,0.000109714,7.75E-05,5.81E-05,5.21E-05,5.97E-05,7.56E-05,9.27E-05,0.000119503,0.000172049,0.000246029,0.000330014,0.000423851,0.000521072,0.000607422,0.000672478,0.00078009,0.001217047,0.002316724,0.003920682,0.005349832,0.006036339,0.006280684,0.007223753,0.009743555,0.013672883,0.018187134,0.022805803,0.02763186,0.032842949,0.039403995,0.050752335,0.077824861,0.150129552,0.319633156,0.637014374,1.086095537,1.538852471,1.829122115,1.867001579,1.680706762,1.391466901,1.136414786,1.028919014,1.16491943,1.500645656,1.780857921,1.794264688,1.588259887,1.346711356,1.212200432,1.242505196,1.385647101,1.494489737,1.465597319,1.328593711,1.166114712,1.016918687,0.879080442,0.754533231,0.65811546,0.593266732,0.54356674,0.493132577,0.441517675,0.397931099,0.367862647,0.3473958,0.328971819,0.306948172,0.278684092,0.245923278,0.212905244,0.18136691,0.151065838,0.12332988,0.10032435,0.082521903,0.068722888,0.057600781,0.048556411,0.041415413,0.035810988,0.031212331,0.027360454
c57bl6jstz15_1,1,disorder,none,0.000551661,0.000534826,0.000511125,0.000462473,0.000445771,0.000518571,0.000646051,0.000745058,0.000795945,0.000859754,0.000960805,0.001047676,0.001111397,0.001186452,0.00126601,0.001372704,0.001628191,0.002120562,0.002756664,0.003294313,0.003591946,0.00387057,0.004434127,0.005363993,0.006866161,0.009071245,0.01180863,0.015781249,0.021967164,0.028848532,0.033561054,0.036567248,0.04158697,0.050724538,0.066297825,0.098841152,0.169543004,0.307680405,0.552289584,0.924705767,1.346560793,1.650426807,1.74094711,1.674612836,1.571469872,1.512277478,1.517447511,1.547558337,1.521960496,1.405312238,1.250102434,1.135564476,1.105063282,1.153086009,1.246093375,1.342560705,1.400616909,1.382783993,1.271444813,1.095273357,0.915477476,0.77849834,0.691211745,0.633292434,0.586733834,0.547371537,0.509953131,0.464346512,0.410955931,0.362268987,0.327403395,0.303948709,0.283918485,0.261144655,0.233441545,0.202719078,0.173528902,0.148922354,0.128279059,0.1097086,0.092478197,0.07699049,0.063763577,0.0529552,0.044475825,0.03798482,0.032942407
c57bl6jstz15foto_2,2,disorder,none,0.000126507,0.000202239,0.000307387,0.000398269,0.000450077,0.000472359,0.000485996,0.000508283,0.000533235,0.000524577,0.000464772,0.000388271,0.000343226,0.000359859,0.000447295,0.000582769,0.000731228,0.000879709,0.001065874,0.001488339,0.002552756,0.004454517,0.006743124,0.009028993,0.011942069,0.016349335,0.023216341,0.038603801,0.079813971,0.172202696,0.331488252,0.542815486,0.755760844,0.905618296,0.955568703,0.91134262,0.800520663,0.661300311,0.534574309,0.442273308,0.379866374,0.333032931,0.292227837,0.25764704,0.237016527,0.232734844,0.234272032,0.231441132,0.225739172,0.222577915,0.222047783,0.2205813,0.216491338,0.210797285,0.20498621,0.19924321,0.192105195,0.184369824,0.180555526,0.18375854,0.192473592,0.201304288,0.203242328,0.193766968,0.174125904,0.149823505,0.126508514,0.107278729,0.092240592,0.080097736,0.069875256,0.06140614,0.0548172,0.050086501,0.047180169,0.045751491,0.044871338,0.043888729,0.043084994,0.043145903,0.044139168,0.045010986,0.044333163,0.041534521,0.037311303,0.032934311,0.029247781
c57bl6jstz15foto_1,1,disorder,none,0.00043183,0.000552929,0.000671419,0.000684201,0.000568869,0.000407078,0.000301574,0.000335028,0.000563318,0.000982126,0.001485401,0.001912254,0.002176014,0.002263417,0.002143577,0.00182938,0.001499445,0.001467232,0.002032508,0.003380754,0.005488291,0.00792413,0.009901244,0.010926624,0.011637711,0.014063732,0.021085996,0.034250462,0.053839595,0.093015446,0.196488925,0.40687232,0.68049269,0.889980654,0.954355061,0.910310922,0.819267955,0.695456868,0.551838923,0.426178155,0.351603414,0.336845767,0.360469154,0.382086774,0.380195588,0.366622722,0.355535377,0.344768259,0.330532117,0.316106405,0.306922822,0.30687235,0.313738946,0.322176516,0.334130802,0.351078519,0.35864209,0.342066608,0.309054881,0.279634914,0.263950929,0.25857806,0.253621184,0.239586229,0.215150609,0.187320643,0.161773773,0.138509276,0.116607673,0.097394457,0.082248761,0.070723905,0.061860547,0.055530257,0.051842251,0.050055682,0.048842648,0.04757773,0.046765282,0.046942884,0.047394096,0.046509076,0.043478717,0.039002947,0.034421911,0.030600339,0.027590573
c57bl6jstz13_2,2,disorder,none,8.90E-05,8.81E-05,8.57E-05,9.02E-05,0.000100423,0.000109555,0.000116325,0.000123391,0.000128794,0.00013362,0.000147159,0.000174969,0.000215208,0.000269748,0.000341035,0.000419473,0.000494204,0.000571235,0.000689623,0.000956253,0.001483403,0.002177009,0.002754455,0.003121106,0.003508543,0.004293152,0.005993316,0.009346669,0.015798745,0.028112181,0.047725264,0.071192251,0.095084095,0.128681962,0.204079697,0.371190512,0.663889472,1.05191196,1.413601565,1.584332881,1.492148428,1.223272667,0.93125849,0.730073581,0.693318895,0.874305809,1.188012263,1.370230447,1.253206383,0.941089116,0.634123715,0.437229562,0.348917404,0.325146704,0.325609816,0.332486633,0.340189485,0.337933123,0.319336779,0.294975661,0.277888627,0.267535003,0.256349377,0.240638575,0.220660509,0.198913139,0.180122775,0.168184728,0.162419842,0.15911308,0.155756365,0.151085631,0.142994273,0.129935991,0.113464951,0.096935357,0.082330575,0.069840743,0.059336695,0.050761979,0.04400376,0.038903572,0.034959793,0.031483209,0.028344537,0.025912705,0.024223407
c57bl6jstz13_1,1,disorder,none,5.20E-05,5.24E-05,7.28E-05,0.000114341,0.000163672,0.000199571,0.000202758,0.000177909,0.000159585,0.000173874,0.00019991,0.000202494,0.000186606,0.000185421,0.00022525,0.000314653,0.000428714,0.000540095,0.000676959,0.000878905,0.0011935,0.001866236,0.00336045,0.00582145,0.008693613,0.011318008,0.014045996,0.018370339,0.025755082,0.037178352,0.053068765,0.072903312,0.097604217,0.137754659,0.219709584,0.375700538,0.633650443,0.993321137,1.357528902,1.541338902,1.449991033,1.187934809,0.934518156,0.798205655,0.817034247,0.991613843,1.217784762,1.296731299,1.143152593,0.868103242,0.623180626,0.470831213,0.395932975,0.363123684,0.350367355,0.355255535,0.375740061,0.393858496,0.392838005,0.3743749,0.347267582,0.314475517,0.277422215,0.241149627,0.212179501,0.19489163,0.187938287,0.185254729,0.182548184,0.179223848,0.174190552,0.164666409,0.149924432,0.132722349,0.1161056,0.100849709,0.086456576,0.073063967,0.061535106,0.052362774,0.04545213,0.04049932,0.036887083,0.03371948,0.030412186,0.027085659,0.024274338
c57bl6jstz13foto_2,2,disorder,none,2.41E-05,3.92E-05,6.38E-05,9.24E-05,0.000112474,0.00011726,0.000114885,0.000115736,0.000123475,0.00013476,0.000141336,0.000147895,0.000174995,0.00022927,0.000293359,0.000353127,0.000427656,0.000569276,0.000808265,0.001079821,0.001249699,0.001255676,0.001175809,0.001211412,0.001754605,0.003309352,0.005952061,0.008987175,0.01165582,0.014234304,0.018682581,0.029385761,0.054800725,0.113235634,0.232218928,0.418174368,0.627872565,0.781470163,0.80944586,0.70836364,0.542949055,0.385974114,0.274759004,0.224810255,0.257055121,0.365030836,0.4653758,0.468516935,0.379443283,0.268503445,0.189297989,0.152979202,0.146317058,0.153484514,0.16652344,0.182050606,0.191604239,0.18458037,0.16146682,0.134692623,0.116815913,0.111199125,0.112360834,0.11440722,0.11646575,0.118901945,0.119728328,0.117325034,0.112410496,0.105911314,0.097418247,0.086524846,0.074257502,0.062295792,0.051746904,0.04289321,0.03563435,0.030054286,0.026238344,0.023720195,0.021636009,0.019424637,0.017147537,0.015204653,0.013929154,0.01335904,0.013261194
c57bl6jstz13foto_1,1,disorder,none,1.94E-05,1.98E-05,2.00E-05,2.00E-05,2.41E-05,3.50E-05,5.03E-05,6.78E-05,9.07E-05,0.000119646,0.000152218,0.000189033,0.000232338,0.000276654,0.000304911,0.000315566,0.000366212,0.000547183,0.000872517,0.001268519,0.001702158,0.002183722,0.002685879,0.003193836,0.003742172,0.00456144,0.006244164,0.009148709,0.012823039,0.017205225,0.024201718,0.037960105,0.068858317,0.148115851,0.330152031,0.61509233,0.868806476,0.937040366,0.815251565,0.616392758,0.435892679,0.307122588,0.234072027,0.221593553,0.279809724,0.383181475,0.447713311,0.414634345,0.315626237,0.218924403,0.161569112,0.141655822,0.139205503,0.137488457,0.13358563,0.130337951,0.125453006,0.116117209,0.105820933,0.100612126,0.103921697,0.113409347,0.1211579,0.122297986,0.120552579,0.120894226,0.122472002,0.122208534,0.119669364,0.115543537,0.109078128,0.09885841,0.084685313,0.068363713,0.052955945,0.041004986,0.033250778,0.028769738,0.026065416,0.023967569,0.021893526,0.019770552,0.017796134,0.016213488,0.015195865,0.014727602,0.014610154
