patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch1stziv7a_1,1,week12,none,0.00024912,0.000382673,0.000494582,0.000546267,0.000537435,0.000490139,0.000428262,0.000367013,0.000323181,0.000324267,0.000387858,0.000483931,0.000545608
ch1stziv6c_1,1,week12,none,0.001284509,0.001052996,0.000880189,0.000847845,0.000910032,0.000975439,0.00104401,0.001174292,0.001318787,0.001350928,0.001244064,0.001090718,0.00097937
ch1stziv6b_1,1,week12,none,0.001080504,0.001072799,0.000993432,0.000874711,0.000771659,0.000739479,0.00082406,0.001022071,0.001215909,0.001260495,0.001159199,0.001047683,0.001031013
ch1stziv6a_1,1,week12,none,0.001406085,0.001393154,0.001289112,0.001156243,0.001026877,0.000905601,0.000832124,0.000868452,0.000983538,0.001059509,0.001039659,0.000970486,0.000914946
ch1stziv5c_1,1,week12,none,0.00133824,0.001501154,0.001483055,0.001285827,0.00100127,0.000756529,0.000635089,0.000638035,0.000700213,0.00074724,0.000740345,0.000684848,0.000614435
ch1stziv5b_1,1,week12,none,0.001584219,0.001716271,0.001641,0.001437388,0.001209928,0.001014408,0.00087335,0.000813332,0.000845045,0.000918939,0.000943552,0.000879731,0.000772112
ch1stziv5a_1,1,week12,none,0.000886109,0.00120126,0.00151584,0.001723966,0.001746138,0.001597958,0.001385387,0.001200468,0.001075294,0.001010966,0.000992184,0.00099213,0.000992342
ch1stziv4c_1,1,week12,none,0.000238635,0.000257462,0.000288434,0.000344427,0.000442464,0.000595783,0.000777376,0.00090912,0.000934874,0.000877543,0.000796343,0.000723628,0.000658749
ch1stziv4b_1,1,week12,none,0.000252328,0.000305754,0.000384256,0.000495242,0.000635463,0.000784927,0.000894,0.000910676,0.000836146,0.000726793,0.000635044,0.000573924,0.000536668
ch1stziv4a_1,1,week12,none,0.000213624,0.000254898,0.000322657,0.000395598,0.000460077,0.000558742,0.000748841,0.000999903,0.00119633,0.001256155,0.001189741,0.001044764,0.000861181
ch1stziv3c_1,1,week12,none,0.000451236,0.000475497,0.00048006,0.000477659,0.000471788,0.000461589,0.000460885,0.000492282,0.000573196,0.000699738,0.000827622,0.000903798,0.000929987
