health.status,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071
disorder,105.91150310682708,96.78030247318786,75.876434320184,55.03602877277174,43.913732110850106,42.670691772429656,45.325983329390134,46.15865870922604,43.20731381553047,38.60846790127121,34.93048930891881,32.27136726035343,30.045448078991708,28.318098781974573,27.027011156047454,25.77335717587608,24.764755850570456,25.724369687454036,30.700965511961364,38.508758177272576,44.2477114663072,44.213104677444974,39.28021267862939,32.832349121221014,27.3747774051267,23.7687971407685,21.848977424108767,20.82989231392356,19.93130750515625,18.791476671712946,17.27855188348098,15.35013924572958,13.076821834515146,10.694923068075873,8.600252274299832,7.103801404173133,6.1454405404788375,5.364229513411988,4.518034876458692,3.6669510220454438,2.9409642454360725,2.3524662226710835,1.84999602198094,1.4192671945249469,1.0895397273674554,0.8786723600909703,0.7702578744474415,0.7357494084945195,0.7519804428657634,0.8042207135999145,0.8868799103890287,1.0031440862200116,1.1606062473747911,1.359907227843082,1.5914521228353689,1.8462480546633133,2.1446741209219704,2.5330538085901284,3.0053100165647053,3.470014734213642,3.8327847672060633,4.068012166092942,4.208365301137712,4.331974439456293,4.5383423769549305,4.852831985460108,5.1726828781800895,5.365320440547533,5.4018566166799316,5.3659257187391045,5.3429312755550455
disorder,4135.894246717906,4427.804033394322,5321.3484125475625,7402.285735343658,10914.131509065966,15861.991107684773,21641.352803099348,26865.84848099949,30590.405915594936,33093.342862857084,34336.45254077176,33525.4221459437,31032.402417677065,29561.808951413823,34453.727424552824,51940.656956315994,81910.04197348896,112503.69340053695,129877.15984873947,134297.66113194305,137655.21817908582,145490.4029726127,153252.77485435345,157442.23877609358,157761.2037800995,152553.8334114683,141952.61436212948,130453.98522388467,121434.88322167125,114351.98408535885,107360.71732212053,99293.79624895293,90123.98167722537,80212.35978356421,70415.54149111596,62839.818040589824,58777.59216259459,56707.820632675226,54171.60335340397,50349.762416433514,45883.250626172434,41703.76626857287,38396.194823906764,35880.188550960025,33590.59070199864,31162.068232066613,28833.897494798286,26941.23026343869,25457.910457236205,24146.750383647886,22807.848041160425,21426.324372635692,20066.76343192042,18693.37091123313,17250.45674557845,15854.164588127654,14697.900737542912,13682.078075086723,12482.864539231687,11019.266841429384,9541.857479740524,8344.95757569203,7506.848367768975,6861.142429536245,6237.081349236844,5626.367674204897,5084.281375787819,4637.372910161122,4296.77509472734,4065.8539691680485,3933.483335648949
disorder,351.3349479812628,334.14673821749943,317.0977261709756,298.3139176823745,270.93362975120937,232.73385046663762,191.03883970002656,155.90750291054155,131.78045170837794,118.51666901181602,116.05537017331687,122.09972197790155,127.61387326428793,123.28017703551001,109.38251231862186,92.76497720724652,78.27802883290789,66.50288548319323,56.48052085386235,48.3212478144673,43.102677372738846,40.697257400573456,39.050873389883535,36.44919979538497,33.3311701978964,31.18207108159015,30.167852422706954,28.686222104545926,25.397472542121008,20.75434727199068,16.25219359539684,12.965433992432981,11.001270174852333,9.837746176580584,8.935558803969489,8.056081000705815,7.219675015394789,6.518305911237298,5.957933712295549,5.47789166568169,5.001749662782963,4.457274579624637,3.87476213614409,3.383882799316442,3.048832952974466,2.8101535048155863,2.5819917685942606,2.3434568478446867,2.1501518885829283,2.0632119502356225,2.0737762162509306,2.111253235379609,2.117261914631884,2.0966388542304544,2.0998327246745734,2.1639410952376865,2.265974147992615,2.3383357605478574,2.340180552929109,2.3044635126881,2.296139131552747,2.344972253641813,2.4477148464571474,2.6082958996645735,2.8568080826774183,3.1915362034894623,3.507437730716803,3.689852225720125,3.7303200015279705,3.6871938157061535,3.6164213757176897
health,2197.9749039617723,1857.629205215764,1922.951921334575,2189.9774734568946,2315.09754550698,2156.5213105692296,1856.9720235192667,1648.4569917022236,1618.5462229309485,1674.6025278901584,1719.8917743618356,1760.0088776977989,1812.7887702671383,1859.5699746849768,1863.4118760964327,1766.7648613273093,1562.9565517014428,1325.4730932201414,1132.529975722648,1025.8093757517504,989.2341307723776,959.1318125601113,897.4601295816037,815.5917145730928,733.6927039612287,663.8945804064155,610.6003626808533,564.0475380600958,510.71704853434835,446.24522576526937,372.7361424516537,296.9095489723561,228.3648429716046,173.06455233816064,131.95006838413929,104.48992838660568,88.5285280182012,78.82355244666934,69.49188340394358,57.78982387706526,44.85605362516815,33.28502419169837,24.608250282544645,18.73512452360661,14.802795604383164,12.01012614479321,9.987071422326316,8.738195498713688,8.268591292129477,8.374196876801943,8.820277943355244,9.473882759590088,10.270444196493326,11.134646961749327,12.00108931179915,13.031572311663787,14.486702893561793,16.349692439106594,18.404443596304574,20.532679191329226,22.85398985500486,25.563107011071878,28.68398375665977,32.5375400403626,37.92577744502047,44.285542676453886,48.82895478093845,49.644782188877144,47.90547563870068,45.84936666984847,44.53216809590763
health,70.48659283029143,59.10790484094594,61.932444181283905,78.94925504137983,106.51532505558927,143.20958161418054,193.16777147727075,253.08467514792247,295.9912462279329,298.83978196000743,276.24923378588744,254.4751684087149,235.11422680910286,205.5255891171417,166.53320781067444,135.06928123841394,129.89391631230814,157.00977213645032,199.69561043456486,229.06960032828087,227.207073025168,197.56964511351688,160.06516678119453,136.0085188545194,130.90361169257557,131.91071740544686,124.48887558955073,107.7790033711768,89.69304853364945,74.23504501323697,60.87187151020818,49.487884908576746,40.092440449015434,31.897679662011843,24.651451667064165,18.84404861407294,14.805907399590776,12.243904221343724,10.433957718125725,8.791674982719616,7.176557364384212,5.736976257712112,4.627871865507883,3.90353144173038,3.541768905369897,3.456032748909597,3.5255122042655027,3.6966327789771896,4.104804156884204,5.064273819793624,6.782856116334551,9.00816717881835,11.254928020241339,13.484547546165645,16.180584766252554,19.83675702277345,24.692110632784683,30.498854388794012,36.37718673955006,41.29772234146565,44.65070108349164,46.33731925839682,46.64318751199682,46.45056515153506,47.25190579334548,49.6279562366731,51.99449067381341,52.58126742630404,51.51995996453204,49.84232829993581,47.8400446338979
health,265.060778838386,373.49241891573485,521.3836310060063,637.799568905119,663.5809223409933,594.2744247260797,477.08915167570433,385.8217330414956,371.27530304459,416.4833033797123,467.0509488053832,504.68383364673934,550.6526014096112,605.2324574365027,640.0291878057683,640.8168518789388,611.0491354170696,559.8074448069519,502.1929611752281,454.28298012591216,426.21159076177,420.94130374819184,437.8497406441237,467.77474679433317,488.3769189027577,481.39326834445467,452.0382021387752,420.62636383227203,399.7519113672531,385.955171157818,370.9665951085961,351.3481696382211,326.3218740239468,298.15010957535225,271.7294799971431,245.7489472482679,214.38276421431198,178.7320295437344,145.28069889165937,117.04066062165936,93.10928971241793,73.1038927104987,57.69990761795789,46.700558423040846,39.024862793630206,33.57610533062298,29.462556991566487,25.990752245800863,22.699207032870607,19.41599049534216,16.236242630420566,13.436421347629635,11.359483060061748,10.154084340718775,9.627082392797913,9.418548774060383,9.221939516448312,8.880759294808932,8.417090443626895,7.97357833373033,7.630605055919231,7.285330623617455,6.820528201451133,6.3213593632116805,5.983974213857769,5.859400363504777,5.805341821526352,5.6537728024554745,5.339603852250149,4.913159972322319,4.490302759920264
disorder,832.7108813200232,717.2336096306967,635.8555954166017,555.7177626255262,486.3711282644708,414.82699841050027,330.5375563293539,251.48337213225392,198.3792552584737,171.14934819751008,152.92770112868212,131.20921085793123,106.64174897938965,84.94397334269692,68.96207469234666,57.509940306012965,48.26594085969357,40.53963115526028,35.19070524925621,32.23698763983856,29.904025298276604,26.5761417035307,22.317376276016493,18.079573441644875,14.454634686579867,11.511187200466368,9.214344300796911,7.588212753529958,6.656209655849983,6.34973721858153,6.5633457038165774,7.236249455401222,8.108299722114904,8.657245162126344,8.599010373962955,8.150737839203643,7.69986760525667,7.3630867234600546,6.944508375676683,6.3326856702372005,5.715098106299522,5.334073474815929,5.1781706147287645,5.020570096745427,4.740118374659066,4.365483360671025,3.8912510670405824,3.3353214162416767,2.8105630127376666,2.4014989997299128,2.089082037326342,1.8166463470521383,1.5572142778568503,1.3139809572990186,1.0981280128170705,0.9180334132246836,0.7758207418255976,0.6666496107903019,0.5831774344682956,0.5195267748426546,0.4695229030647066,0.4257673980369217,0.3838843649276524,0.3435766972392683,0.3061660279232687,0.27386661226538644,0.24814826314263794,0.2282193358385569,0.2125128077992525,0.20004739364348745,0.1901640915646892
health,308.45194277765245,295.6458923169448,287.95109533047247,275.54692040970014,268.19536410991816,280.83778983406853,297.13934682772566,289.806795511906,264.57829806306387,246.27402180454231,242.57236164731026,240.30529182367343,226.5981866589481,203.98827657419216,185.5676363685598,180.9367006914209,188.35332348917197,197.65964554039,196.3191445205814,177.49259565386802,147.85875626422003,121.25750882119951,104.79157031257523,95.55568155210304,87.64681708539803,78.0829524461313,67.26984459265833,56.99612063616356,49.02222985768237,43.87320483482796,39.85513953493643,34.665425811456224,28.029692794222804,21.484688649258413,16.382488922370314,12.954648858557592,10.65765189136382,8.850118064939528,7.202711375923928,5.748130931709536,4.638907005807144,3.855714074384661,3.2341632814073136,2.6905238921593253,2.243389918080272,1.9063613742063448,1.681028153533067,1.5745223866479436,1.576599778865593,1.658510101153773,1.7859600091224996,1.9267352633622663,2.066180993648972,2.213190109183772,2.376371516135788,2.532893041002556,2.660178843111967,2.8045235816133847,3.043573163167207,3.3538495657416028,3.6242222784973412,3.820795848863405,4.008335436770877,4.249090839830928,4.5781654279115305,4.987338326196007,5.421456888461564,5.837806483443104,6.212377662339281,6.5444383029035125,6.8713580701763455
health,899.5587893890628,593.9103040297692,382.05204134055344,275.4751884455662,239.31358656893886,234.95460772002846,243.3669725297215,262.0536137570699,283.45930168170173,287.99836261324344,272.93292208277023,263.79971115618116,274.0589439434232,283.91517913396353,272.0346756951296,242.34007668821124,214.1746879381615,200.07601160405216,197.23543881448654,196.7602336597004,196.34370760218124,204.54873280018847,229.24798306614088,257.7545890799125,265.2852652498651,244.8627835981114,212.3950336914384,187.333347063148,176.85608371144104,175.88441817064262,177.00208465490746,177.26886174457306,177.57689188532245,178.3998912532504,177.3185713201955,171.21191763266555,159.57393872902486,144.1914921825672,127.09236971210608,110.3223183532559,95.63648355243058,83.04358445801556,71.31697959071845,59.85817528741911,48.896521569326275,38.71466857289389,29.569252676297737,21.91026190197688,16.252573348212277,12.81746054128686,11.426617978417692,11.759979799074964,13.501344619760495,16.415324673012368,20.58405315075557,26.24391989467743,33.18049610146829,40.43175940725629,46.91593007811996,52.55533560632728,58.29350235498394,65.5818772761924,76.00649583843362,89.67450433711342,103.68211827518215,114.49991571038748,123.39585863082672,135.84493319252832,154.4526122524933,176.0610271296101,195.1123341845376
disorder,1012.5273655029516,744.2817677864583,603.5339501484211,575.9890630812728,601.1479032296146,643.1803897164523,695.3879702805078,742.118013228419,747.6746873620036,688.9452310602153,584.6267832192576,476.92851439476317,389.56278746155874,318.97086242097964,259.1782209512007,220.72078752697203,215.68827043400051,230.767424745894,234.66605303838813,212.07201128090287,172.74051027744878,132.43720689250443,100.41675318451277,79.34809544426498,67.57885010330077,61.23776006689538,56.27546784925777,50.01275206951339,42.063256949485954,34.12615092074697,28.096557231979386,24.521530483579888,22.806797359937075,21.82932169576744,20.54898531528063,18.693971993260078,16.597507857222276,14.504172715259536,12.447297693833955,10.452832400603057,8.588169673634843,6.917662394311237,5.456432942052282,4.193911907790455,3.1385596372342563,2.3178453458300967,1.7500050797535132,1.4119601402686404,1.2347708190826796,1.1369193323200852,1.063387062929646,1.0006024628357222,0.9620077356574048,0.9586977090949282,0.9821805457140824,1.0102284214792396,1.0261492268591867,1.0311357935044418,1.042969012185777,1.0886428789878326,1.187029324252394,1.3311220691163923,1.4894255626559147,1.6352138078113372,1.7847147621717807,1.9783756450500816,2.2145987107908263,2.451169630263558,2.664535668234449,2.859656748925927,3.0307432146697506
