patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch1ctlii2c_1,1,week6,none,0.000199926,0.000214924,0.000230323,0.000295605,0.000456115,0.000663599,0.000785798,0.00076074,0.000658106,0.00057747,0.000555987,0.000566427,0.000574365
ch1ctlii2b_1,1,week6,none,0.000293719,0.000320643,0.000422657,0.000603811,0.000784227,0.000871408,0.000865899,0.000831747,0.000799848,0.000762349,0.000722563,0.000703553,0.000728175
ch1ctlii2a_1,1,week6,none,0.000179603,0.000218319,0.000315803,0.000481133,0.00064417,0.000718567,0.000705015,0.000655869,0.000593264,0.000527455,0.000494181,0.000543111,0.000714522
ch1ctlii1e_1,1,week6,none,0.025323491,0.023978656,0.022493624,0.020941651,0.019390706,0.018335316,0.018084258,0.018334007,0.018456579,0.018047789,0.017149311,0.016034998,0.014967139
ch1ctlii1d_1,1,week6,none,0.098509758,0.097403755,0.094942793,0.089966125,0.082314492,0.072995491,0.063091553,0.053219322,0.043584403,0.034212453,0.025316461,0.017417984,0.011110769
ch1ctlii1c_1,1,week6,none,0.0005046,0.000526779,0.000548206,0.000586226,0.000626262,0.000626185,0.000576815,0.000524547,0.000522148,0.000576689,0.000654296,0.000725038,0.000779599
ch1ctlii1b_1,1,week6,none,0.000263776,0.000355164,0.00047617,0.000592862,0.000652278,0.000621726,0.00052614,0.000433581,0.000402845,0.000443437,0.000524768,0.000621562,0.000716338
ch1ctlii1a_1,1,week6,none,0.000209091,0.000246738,0.000296445,0.000357869,0.00042341,0.000470698,0.000475786,0.000446734,0.000426859,0.000460622,0.000559469,0.000703945,0.000856535
ch1ctli5c_1,1,week4,none,0.00049651,0.00071007,0.000898597,0.001046292,0.001173837,0.001291125,0.001391628,0.001473158,0.001525307,0.001512455,0.001437415,0.001385529,0.001421746
ch1ctli5b_1,1,week4,none,0.003620092,0.003217237,0.002689838,0.002260602,0.002047104,0.002002088,0.002099694,0.002330377,0.002533713,0.002506276,0.002248269,0.001930754,0.001682566
ch1ctli5a_1,1,week4,none,0.000847434,0.000699787,0.000596884,0.000550514,0.000550839,0.000596004,0.000707617,0.000905453,0.001127336,0.001268585,0.00130237,0.001261704,0.00117576
ch1ctli4c_1,1,week4,none,0.000635432,0.000868859,0.00109979,0.001320646,0.001514377,0.001601356,0.001530788,0.001361534,0.00119024,0.001075738,0.001040741,0.001070595,0.001125901
ch1ctli4b_1,1,week4,none,0.000404008,0.000578902,0.00085832,0.001226084,0.001540538,0.001613119,0.001414362,0.001113775,0.000894983,0.000803647,0.000783446,0.00079623,0.000846872
ch1ctli4a_1,1,week4,none,0.00034824,0.0005003,0.000722299,0.001016275,0.001312457,0.001486065,0.001479043,0.001345613,0.001176705,0.001044795,0.000989437,0.000999289,0.001035351
ch1ctli3c_1,1,week4,none,0.002413072,0.003288626,0.004056442,0.00425667,0.003830994,0.00315778,0.002611479,0.00229782,0.002142768,0.002114386,0.002264096,0.002503344,0.002582465
ch1ctli3b_1,1,week4,none,0.002151261,0.002661895,0.002966981,0.002953083,0.00268221,0.002356698,0.002179462,0.002231843,0.00243943,0.002653433,0.002772335,0.002752968,0.002593039
ch1ctli3a_1,1,week4,none,0.001968516,0.002607873,0.003256512,0.003632876,0.00351509,0.003005344,0.002426322,0.002049458,0.001951719,0.002008463,0.002055589,0.002053125,0.002033077
ch1ctli2c_1,1,week4,none,0.000434197,0.000567683,0.000753628,0.001025954,0.001377709,0.00180381,0.002382199,0.00308919,0.003590061,0.003575387,0.00315575,0.002665086,0.002290114
ch1ctli2b_1,1,week4,none,0.000404656,0.000506789,0.000622331,0.000760877,0.001006256,0.001450819,0.002008775,0.002410023,0.002494999,0.002384493,0.002274191,0.002217144,0.002154339
ch1ctli2a_1,1,week4,none,0.0004202,0.000621299,0.000841836,0.001045023,0.001244728,0.001495416,0.001833867,0.002252467,0.002708016,0.003092879,0.003269291,0.003195914,0.002963122
ch1ctli1c_1,1,week4,none,0.000721989,0.000791069,0.001022591,0.001418509,0.001770393,0.001868391,0.001756247,0.001622325,0.001547852,0.001461565,0.00128772,0.001057056,0.000866967
ch1ctli1b_1,1,week4,none,0.000564548,0.000592696,0.000671339,0.000832101,0.001092893,0.001423977,0.001747149,0.001969125,0.002030069,0.001929879,0.00170792,0.001425281,0.001154649
ch1ctli1a_1,1,week4,none,0.002794166,0.002796998,0.002745537,0.002672354,0.002581612,0.002485917,0.002460466,0.002539619,0.002648567,0.002706925,0.002719801,0.002725901,0.002691934
ch2ctli1c_1,1,week4,none,0.000507909,0.00058388,0.000771143,0.001070878,0.001333997,0.001408923,0.001324729,0.00121254,0.001136214,0.001062114,0.000943202,0.000789587,0.000656572
ch2ctli1b_1,1,week4,none,0.000415804,0.000449133,0.000525489,0.000661131,0.000853388,0.001073363,0.00128283,0.001438068,0.001493231,0.001428772,0.001264113,0.001047723,0.000838169
ch2ctli1a_1,1,week4,none,0.002220595,0.002250709,0.002194806,0.002102111,0.001994606,0.001890488,0.001861198,0.001942718,0.002056128,0.002108888,0.002105872,0.002093958,0.002051888
ch1stziv7c_1,1,week12,none,0.000244562,0.000409111,0.000580224,0.000662354,0.000621604,0.000514328,0.000416382,0.000365778,0.000355033,0.000358583,0.000369653,0.000398889,0.000437559
ch1stziv7b_1,1,week12,none,0.000144309,0.000252908,0.00039189,0.000489567,0.000507856,0.000473549,0.000428187,0.000393938,0.000373162,0.000363563,0.000374939,0.000409819,0.00043552
ch1stziv7a_1,1,week12,none,0.00024912,0.000382673,0.000494582,0.000546267,0.000537435,0.000490139,0.000428262,0.000367013,0.000323181,0.000324267,0.000387858,0.000483931,0.000545608
ch1stziv6c_1,1,week12,none,0.001284509,0.001052996,0.000880189,0.000847845,0.000910032,0.000975439,0.00104401,0.001174292,0.001318787,0.001350928,0.001244064,0.001090718,0.00097937
ch1stziv6b_1,1,week12,none,0.001080504,0.001072799,0.000993432,0.000874711,0.000771659,0.000739479,0.00082406,0.001022071,0.001215909,0.001260495,0.001159199,0.001047683,0.001031013
ch1stziv6a_1,1,week12,none,0.001406085,0.001393154,0.001289112,0.001156243,0.001026877,0.000905601,0.000832124,0.000868452,0.000983538,0.001059509,0.001039659,0.000970486,0.000914946
ch1stziv5c_1,1,week12,none,0.00133824,0.001501154,0.001483055,0.001285827,0.00100127,0.000756529,0.000635089,0.000638035,0.000700213,0.00074724,0.000740345,0.000684848,0.000614435
ch1stziv5b_1,1,week12,none,0.001584219,0.001716271,0.001641,0.001437388,0.001209928,0.001014408,0.00087335,0.000813332,0.000845045,0.000918939,0.000943552,0.000879731,0.000772112
ch1stziv5a_1,1,week12,none,0.000886109,0.00120126,0.00151584,0.001723966,0.001746138,0.001597958,0.001385387,0.001200468,0.001075294,0.001010966,0.000992184,0.00099213,0.000992342
ch1stziv4c_1,1,week12,none,0.000238635,0.000257462,0.000288434,0.000344427,0.000442464,0.000595783,0.000777376,0.00090912,0.000934874,0.000877543,0.000796343,0.000723628,0.000658749
ch1stziv4b_1,1,week12,none,0.000252328,0.000305754,0.000384256,0.000495242,0.000635463,0.000784927,0.000894,0.000910676,0.000836146,0.000726793,0.000635044,0.000573924,0.000536668
ch1stziv4a_1,1,week12,none,0.000213624,0.000254898,0.000322657,0.000395598,0.000460077,0.000558742,0.000748841,0.000999903,0.00119633,0.001256155,0.001189741,0.001044764,0.000861181
ch1stziv3c_1,1,week12,none,0.000451236,0.000475497,0.00048006,0.000477659,0.000471788,0.000461589,0.000460885,0.000492282,0.000573196,0.000699738,0.000827622,0.000903798,0.000929987
ch1stziv3b_1,1,week12,none,0.000438137,0.000390808,0.000333238,0.00028299,0.000264695,0.000289647,0.000342388,0.000399302,0.000459982,0.000541302,0.000629068,0.00068448,0.000720078
ch1stziv3a_1,1,week12,none,0.000376057,0.000376888,0.000351996,0.00031875,0.000318808,0.000392237,0.000524028,0.000636487,0.000681981,0.000708514,0.000777706,0.000872962,0.000955871
ch1stziv2b_1,1,week12,none,0.00152148,0.002069336,0.002571495,0.002943543,0.003099211,0.002951484,0.002550372,0.002110484,0.001824728,0.001733889,0.001758784,0.001798854,0.001810001
ch1stziv2a_1,1,week12,none,0.001718009,0.002297772,0.002739358,0.002998246,0.003078576,0.002985186,0.002759218,0.002460481,0.002119408,0.001766733,0.00147923,0.001324976,0.001294439
ch1stziv1d_1,1,week12,none,0.001803114,0.002077907,0.002082697,0.001959026,0.001908782,0.001996539,0.002174225,0.002336531,0.002330617,0.002090614,0.001741474,0.001475647,0.001372518
ch1stziv1c_1,1,week12,none,0.000125732,0.000146512,0.000180884,0.000217102,0.000249377,0.000294805,0.00035988,0.000412033,0.000424465,0.000419932,0.000430583,0.000451667,0.00046667
ch1stziv1b_1,1,week12,none,0.000100347,0.000106787,0.000123825,0.000153972,0.000214745,0.000311656,0.00041056,0.000466743,0.000475242,0.000470671,0.000487963,0.000537105,0.000605596
ch1stziv1a_1,1,week12,none,0.000187086,0.000196537,0.000217525,0.000259742,0.000324892,0.000390969,0.000430253,0.000445079,0.000466058,0.000518538,0.000609792,0.000724797,0.000828004
ch1stziii3c_1,1,week8,none,0.000439792,0.000483359,0.000460206,0.000399108,0.000348472,0.00034863,0.000416393,0.000533186,0.000642291,0.000690167,0.000688677,0.000699799,0.000753704
ch1stziii3b_1,1,week8,none,0.000420228,0.000492914,0.000528971,0.000523604,0.000508902,0.00051384,0.000543404,0.000588154,0.000632788,0.00066313,0.000687935,0.000736785,0.000808507
ch1stziii3a_1,1,week8,none,0.000362226,0.000389456,0.000404985,0.000420264,0.000455035,0.00052054,0.000603967,0.000670449,0.000699603,0.000708605,0.000729181,0.000765755,0.000788059
ch1stziii2c_1,1,week8,none,0.00053682,0.000678159,0.000810137,0.000893979,0.000938336,0.001044167,0.001303403,0.00166587,0.001949302,0.00199148,0.001789834,0.00146537,0.001137261
ch1stziii2a_1,1,week8,none,0.063206934,0.047079007,0.037569132,0.029206309,0.022095984,0.018766585,0.019251345,0.02111143,0.022590902,0.022847748,0.021334142,0.018506008,0.015633363
ch1stziii1c_1,1,week8,none,0.000985286,0.001137077,0.001141159,0.001027354,0.00091455,0.000876104,0.00090517,0.000967382,0.001037084,0.001092976,0.001108746,0.001078772,0.001039332
ch1stziii1b_1,1,week8,none,0.000743234,0.000933861,0.001122892,0.001204494,0.001163238,0.001093488,0.00106147,0.00106105,0.001114428,0.001262395,0.001443515,0.001529467,0.001472063
ch1stziii1a_1,1,week8,none,0.001525491,0.001730245,0.001856289,0.001881478,0.001848832,0.001827411,0.001860486,0.001939324,0.002028931,0.002090335,0.002103106,0.002085287,0.002065556
ch1stzii4d_1,1,week6,none,0.000502263,0.000611605,0.000657326,0.000687169,0.000779356,0.000933344,0.001071045,0.001114062,0.001035368,0.000881919,0.000735828,0.000640379,0.000586876
ch1stzii4c_1,1,week6,none,0.000482411,0.000561301,0.000619517,0.000699481,0.000833095,0.001006099,0.001142557,0.001160893,0.001048249,0.000871543,0.000720923,0.000637436,0.000595301
ch1stzii4b_1,1,week6,none,0.00029833,0.000440393,0.000569861,0.000650185,0.000735666,0.000867351,0.000961221,0.000912243,0.000747394,0.000576358,0.000466327,0.000419355,0.000408877
ch1stzii4a_1,1,week6,none,0.000451838,0.000511321,0.000568266,0.000605152,0.000644426,0.000766485,0.001003361,0.00124726,0.0013476,0.00126268,0.001072985,0.000878659,0.000726689
ch1stzii3c_1,1,week6,none,0.000141728,0.00015083,0.000161447,0.000179505,0.000220891,0.000304931,0.000430341,0.000549326,0.000596721,0.000567462,0.000525962,0.00052921,0.000571444
ch1stzii3b_1,1,week6,none,0.000241325,0.000242127,0.000240611,0.00024606,0.000265499,0.000297817,0.000342982,0.000401778,0.000462558,0.000510294,0.000554747,0.000621025,0.000707702
ch1stzii3a_1,1,week6,none,0.000220726,0.000206067,0.000199098,0.000227089,0.00030067,0.000390006,0.000455924,0.000491861,0.000517318,0.000558269,0.000631994,0.000724981,0.000796473
ch1stzii2c_1,1,week6,none,0.002698288,0.001731266,0.001279365,0.001328847,0.001727204,0.002105809,0.002152461,0.001883602,0.001543171,0.001326004,0.001248347,0.001231092,0.001231126
ch1stzii2b_1,1,week6,none,0.000289835,0.000265413,0.000259656,0.000272386,0.000298463,0.000335857,0.000395799,0.000491877,0.000628265,0.000789207,0.00092697,0.001000519,0.001028554
ch1stzii2a_1,1,week6,none,0.000510497,0.000483305,0.000436588,0.00042915,0.000478797,0.000572455,0.000700115,0.000853938,0.001013559,0.001139473,0.001175282,0.001103587,0.000979672
ch1stzii1b_1,1,week6,none,0.000724389,0.000761893,0.000799007,0.000821567,0.000811103,0.000783045,0.000767233,0.00076738,0.000752178,0.000699652,0.000628487,0.000564909,0.000510885
ch1stzii1a_1,1,week6,none,0.000159025,0.000195383,0.000208452,0.000218997,0.000248548,0.000282211,0.00028651,0.000255037,0.000210684,0.000177091,0.000165813,0.000176837,0.000201435
ch1stzi4c_1,1,week4,none,0.000189683,0.000255266,0.000313821,0.000357785,0.000388597,0.000419011,0.000469425,0.000554795,0.000677841,0.000827663,0.00098435,0.001118822,0.001192131
ch1stzi4b_1,1,week4,none,0.000228469,0.000309894,0.000350266,0.000343036,0.000326963,0.000333722,0.000383687,0.000515422,0.00075349,0.001041507,0.001264435,0.001355863,0.001332952
ch1stzi4a_1,1,week4,none,0.000230972,0.000235002,0.000245226,0.000271772,0.00031126,0.000368033,0.000479317,0.000686252,0.00096972,0.001237556,0.001391819,0.001391988,0.001271312
ch1stzi3c_1,1,week4,none,0.000663547,0.000719415,0.000792308,0.000860047,0.000896721,0.000882935,0.000836853,0.000787862,0.000742568,0.000713364,0.000774711,0.001046866,0.001502875
ch1stzi3b_1,1,week4,none,0.000466908,0.000462949,0.000473146,0.000518598,0.000591749,0.000674031,0.00073498,0.000748516,0.000733551,0.000773523,0.000994812,0.001453342,0.001973925
ch1stzi3a_1,1,week4,none,0.000718227,0.00067988,0.000656212,0.000646381,0.000625637,0.000587,0.000546727,0.000522432,0.000525237,0.000568237,0.00067823,0.000879579,0.001128978
ch1stzi2c_1,1,week4,none,1.086346922,1.187903575,1.264145684,1.305355874,1.305170283,1.26622355,1.204608336,1.149585333,1.136664077,1.194228826,1.325626557,1.494033041,1.627895651
ch1stzi2b_1,1,week4,none,0.000269487,0.000315242,0.000378486,0.000478128,0.000613897,0.00073686,0.00080607,0.000823612,0.000816683,0.000817981,0.0008381,0.000859258,0.000879835
ch1stzi2a_1,1,week4,none,0.000210419,0.000242374,0.000288757,0.000341381,0.000408528,0.00049864,0.000593061,0.000663142,0.000720897,0.000803519,0.000913054,0.001022283,0.001108364
ch1stzi1a_1,1,week4,none,0.002964835,0.003821487,0.004295575,0.004296413,0.004034834,0.00372522,0.003431912,0.003096718,0.002666857,0.002193812,0.001805655,0.001601916,0.00155873
ch2stzi2a_1,1,week4,none,0.000381902,0.000458297,0.000568984,0.000717963,0.000927435,0.00124977,0.001676609,0.002064151,0.002285617,0.00238832,0.002499516,0.002656477,0.002802987
ch2stzi1a_1,1,week4,none,0.002539932,0.003214051,0.003595929,0.003618891,0.003428969,0.00317599,0.002911741,0.002602362,0.002221831,0.001823263,0.001507919,0.001343278,0.001298392
ch2ctliv7c_1,1,week12,none,0.000231126,0.000183037,0.000161625,0.000162515,0.000206404,0.000321505,0.000465866,0.000531641,0.000475154,0.000362631,0.000287215,0.000294457,0.000360147
