patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch2obb1d_1,1,disorder,none,0.000145266,0.000190632,0.000235043,0.000259136,0.000267346,0.000283808,0.000329909,0.000404545,0.00048066,0.000531586,0.000557723,0.000571506,0.000578085
ch2obb1c_1,1,disorder,none,5.16E-05,7.32E-05,8.92E-05,9.35E-05,8.96E-05,8.70E-05,9.08E-05,0.000100012,0.000115667,0.000142029,0.000175747,0.000202354,0.000210896
ch2obb1b_1,1,disorder,none,3.00E-05,4.47E-05,6.23E-05,7.46E-05,7.71E-05,7.53E-05,7.91E-05,9.38E-05,0.000118155,0.0001457,0.000171452,0.000197216,0.000221209
ch2obb1a_1,1,disorder,none,1.77E-05,2.37E-05,2.95E-05,3.53E-05,4.20E-05,5.04E-05,6.29E-05,8.52E-05,0.000119275,0.000158488,0.000193633,0.000217808,0.000227892
ch2lean3d_1,1,health,none,0.000776221,0.000718788,0.000690051,0.000722536,0.00077111,0.000781809,0.000759066,0.000751364,0.000808061,0.000923863,0.001010049,0.000986839,0.000877877
ch2lean3c_1,1,health,none,0.001030667,0.001109777,0.00124014,0.001353257,0.001344827,0.001184803,0.000952996,0.000746825,0.000609265,0.000547852,0.00055716,0.00061321,0.000674194
ch2lean3b_1,1,health,none,0.000297839,0.000287999,0.000339603,0.000455402,0.000576045,0.000644851,0.000671407,0.000679034,0.000661589,0.000632187,0.000641796,0.000704982,0.000770724
ch2lean3a_1,1,health,none,0.000512543,0.000467911,0.00045652,0.000490385,0.000559904,0.000647617,0.000750823,0.000869684,0.000972714,0.001000577,0.000919494,0.000766484,0.00062139
ch2lean2d_1,1,health,none,4.88E-05,6.98E-05,9.06E-05,0.00010424,0.000110499,0.000115496,0.000121641,0.000126674,0.000132247,0.000144264,0.000163975,0.000186527,0.000207015
ch2lean2c_1,1,health,none,3.71E-05,6.00E-05,9.13E-05,0.000126891,0.000163856,0.00019785,0.00021667,0.000209652,0.000185207,0.000165865,0.000166644,0.000185547,0.000214575
ch2lean2b_1,1,health,none,3.22E-05,5.54E-05,9.03E-05,0.00013148,0.000168315,0.000193552,0.000207259,0.000211819,0.000206969,0.000194185,0.000183246,0.000187185,0.000207996
ch2lean2a_1,1,health,none,2.82E-05,4.21E-05,6.54E-05,0.000101095,0.000146152,0.000193944,0.000237733,0.00027419,0.00030726,0.000340334,0.000364838,0.000369146,0.00035602
ch2lean1d_1,1,health,none,5.95E-05,6.71E-05,6.94E-05,7.14E-05,7.41E-05,7.59E-05,7.66E-05,8.17E-05,0.000101543,0.00013741,0.000170179,0.00018141,0.00017782
